Date,Open,High,Low,Close,Adj Close,Volume
2018-03-20,0.24,0.24,0.23,0.23,0.23,567400
2018-03-22,0.24,0.24,0.23,0.23,0.23,22496900
2018-03-23,0.22,0.22,0.21,0.21,0.21,1239700
2018-03-26,0.22,0.23,0.22,0.23,0.23,1063800
2018-03-27,0.23,0.23,0.23,0.23,0.23,1003100
2018-03-28,0.23,0.23,0.22,0.22,0.22,9192300
2018-03-29,0.23,0.23,0.22,0.22,0.22,15054400
2018-03-30,0.23,0.23,0.2,0.22,0.22,3443600
2018-04-02,0.21,0.22,0.2,0.2,0.2,12597300
2018-04-03,0.19,0.19,0.19,0.19,0.19,12934400
2018-04-04,0.18,0.18,0.13,0.13,0.13,5094000
2018-04-05,0.13,0.13,0.12,0.13,0.13,1737500
2018-04-09,0.12,0.12,0.11,0.11,0.11,2717800
2018-04-10,0.12,0.12,0.11,0.12,0.12,4808300
2018-04-11,0.13,0.13,0.12,0.12,0.12,1231700
2018-04-12,0.12,0.12,0.12,0.12,0.12,1400
2018-04-17,0.11,0.11,0.09,0.09,0.09,143400
2018-04-18,0.09,0.1,0.09,0.1,0.1,200000
2018-04-19,0.1,0.1,0.09,0.09,0.09,380000
2018-04-20,0.09,0.11,0.09,0.11,0.11,12540300
2018-04-23,0.12,0.14,0.12,0.12,0.12,9328400
2018-04-24,0.12,0.12,0.12,0.12,0.12,225100
2018-04-25,0.11,0.12,0.11,0.12,0.12,310000
2018-04-26,0.12,0.12,0.11,0.11,0.11,1408800
2018-04-27,0.11,0.12,0.11,0.12,0.12,550000
2018-04-30,0.12,0.15,0.12,0.14,0.14,4060100
2018-05-02,0.14,0.14,0.12,0.14,0.14,3236100
2018-05-03,0.14,0.14,0.13,0.13,0.13,5072000
2018-05-04,0.15,0.15,0.12,0.12,0.12,3319200
2018-05-07,0.13,0.15,0.13,0.15,0.15,8298200
2018-05-08,0.14,0.14,0.14,0.14,0.14,2491800
2018-05-09,0.14,0.14,0.12,0.12,0.12,1058400
2018-05-10,0.12,0.12,0.12,0.12,0.12,235800
2018-05-11,0.12,0.13,0.12,0.12,0.12,2964400
2018-05-14,0.13,0.13,0.13,0.13,0.13,2493600
2018-05-15,0.13,0.14,0.13,0.14,0.14,1065700
2018-05-16,0.13,0.13,0.12,0.12,0.12,1452600
2018-05-17,0.11,0.11,0.11,0.11,0.11,550000
2018-05-18,0.12,0.12,0.11,0.11,0.11,2819000
2018-05-21,0.12,0.12,0.12,0.12,0.12,10000
2018-05-22,0.11,0.11,0.11,0.11,0.11,873000
2018-05-24,0.1,0.1,0.1,0.1,0.1,2819600
2018-05-25,0.1,0.1,0.1,0.1,0.1,3440800
2018-05-28,0.1,0.1,0.1,0.1,0.1,616000
2018-05-30,0.1,0.1,0.1,0.1,0.1,619800
2018-06-01,0.1,0.1,0.09,0.09,0.09,453200
2018-06-04,0.1,0.1,0.09,0.09,0.09,5690600
2018-06-05,0.1,0.1,0.09,0.09,0.09,620000
2018-06-07,0.09,0.09,0.09,0.09,0.09,290000
2018-06-19,0.06,0.06,0.05,0.05,0.05,800000
2018-06-20,0.04,0.05,0.04,0.05,0.05,140000
2018-07-05,0.01,0.01,0.01,0.01,0.01,20000
2018-07-06,0.02,0.02,0.02,0.02,0.02,200000
2018-07-24,0.01,0.01,0.01,0.01,0.01,108200
