Date,Open,High,Low,Close,Adj Close,Volume
2015-11-20,0.59,0.59,0.58,0.58,0.58,652200
2015-11-23,0.6,0.6,0.59,0.59,0.59,1236400
2015-11-24,0.58,0.58,0.57,0.57,0.57,651000
2015-11-26,0.54,0.54,0.54,0.54,0.54,602000
2015-11-27,0.54,0.54,0.53,0.53,0.53,30000
2015-11-30,0.52,0.52,0.51,0.51,0.51,3003000
2015-12-01,0.53,0.53,0.52,0.52,0.52,665700
2015-12-02,0.54,0.54,0.48,0.48,0.48,2635200
2015-12-03,0.49,0.49,0.46,0.47,0.47,2662000
2015-12-04,0.45,0.45,0.43,0.44,0.44,2021800
2015-12-08,0.39,0.4,0.39,0.39,0.39,1334600
2015-12-09,0.38,0.39,0.37,0.38,0.38,3137400
2015-12-11,0.38,0.39,0.38,0.39,0.39,2036200
2015-12-14,0.39,0.39,0.38,0.39,0.39,1288000
2015-12-15,0.4,0.44,0.4,0.44,0.44,1945200
2015-12-16,0.45,0.45,0.42,0.42,0.42,2848800
2015-12-17,0.43,0.44,0.43,0.44,0.44,1915200
2015-12-18,0.43,0.43,0.41,0.41,0.41,1327000
2015-12-21,0.42,0.42,0.4,0.4,0.4,1343400
2015-12-22,0.39,0.39,0.38,0.38,0.38,603600
2015-12-23,0.36,0.38,0.36,0.37,0.37,1975800
2015-12-24,0.37,0.37,0.36,0.36,0.36,1360200
2015-12-25,0.38,0.38,0.38,0.38,0.38,1277600
2015-12-28,0.39,0.39,0.38,0.38,0.38,673200
2015-12-29,0.37,0.37,0.37,0.37,0.37,607400
2016-01-04,0.36,0.37,0.36,0.36,0.36,787400
2016-01-05,0.37,0.37,0.35,0.35,0.35,653200
2016-01-06,0.36,0.36,0.36,0.36,0.36,623400
2016-01-07,0.34,0.34,0.33,0.33,0.33,1370200
2016-01-08,0.33,0.33,0.33,0.33,0.33,1284600
2016-01-11,0.32,0.32,0.32,0.32,0.32,658800
2016-01-12,0.32,0.32,0.31,0.32,0.32,1288000
2016-01-13,0.34,0.35,0.34,0.35,0.35,1957400
2016-01-14,0.34,0.35,0.34,0.34,0.34,1375000
2016-01-15,0.33,0.33,0.32,0.32,0.32,634000
2016-01-18,0.32,0.33,0.31,0.31,0.31,1904400
2016-01-19,0.32,0.33,0.32,0.32,0.32,2276600
2016-01-20,0.32,0.32,0.31,0.31,0.31,1298400
2016-01-21,0.32,0.32,0.31,0.31,0.31,1836800
2016-01-22,0.32,0.36,0.32,0.36,0.36,3534400
2016-01-25,0.36,0.37,0.34,0.34,0.34,1647400
2016-01-26,0.35,0.36,0.34,0.35,0.35,1405800
2016-01-27,0.37,0.41,0.36,0.41,0.41,1944400
2016-01-28,0.42,0.43,0.39,0.43,0.43,1944000
2016-01-29,0.41,0.41,0.41,0.41,0.41,13000
2016-02-01,0.43,0.46,0.43,0.45,0.45,727200
2016-02-02,0.45,0.47,0.43,0.43,0.43,3361200
2016-02-03,0.43,0.43,0.39,0.42,0.42,2585200
2016-02-04,0.43,0.43,0.42,0.42,0.42,1434600
2016-02-05,0.42,0.44,0.42,0.44,0.44,2934400
2016-02-08,0.44,0.44,0.43,0.43,0.43,815800
2016-02-09,0.44,0.48,0.43,0.47,0.47,4824900
2016-02-10,0.47,0.48,0.47,0.48,0.48,1284800
2016-02-11,0.49,0.5,0.44,0.44,0.44,3910800
2016-02-12,0.43,0.44,0.41,0.43,0.43,3500000
2016-02-15,0.44,0.46,0.43,0.43,0.43,1654200
2016-02-16,0.43,0.43,0.43,0.43,0.43,1411200
2016-02-17,0.38,0.38,0.35,0.36,0.36,5122000
2016-02-18,0.37,0.37,0.35,0.35,0.35,641200
2016-02-19,0.35,0.38,0.35,0.37,0.37,2214100
2016-02-23,0.4,0.4,0.38,0.38,0.38,1961700
2016-02-24,0.38,0.38,0.37,0.37,0.37,2483000
2016-02-25,0.38,0.38,0.36,0.36,0.36,1380600
2016-02-26,0.38,0.38,0.38,0.38,0.38,689000
2016-02-29,0.37,0.37,0.36,0.37,0.37,783800
2016-03-01,0.36,0.37,0.36,0.37,0.37,1807400
2016-03-02,0.39,0.43,0.39,0.42,0.42,5118200
2016-03-03,0.44,0.44,0.39,0.4,0.4,2362800
2016-03-04,0.42,0.47,0.42,0.45,0.45,3250000
2016-03-07,0.49,0.51,0.48,0.51,0.51,2872900
2016-03-08,0.51,0.52,0.48,0.48,0.48,3507100
2016-03-09,0.48,0.5,0.48,0.5,0.5,1818600
2016-03-10,0.5,0.5,0.49,0.49,0.49,624000
2016-03-11,0.5,0.56,0.5,0.56,0.56,4471800
2016-03-14,0.57,0.57,0.54,0.54,0.54,2660800
2016-03-15,0.52,0.52,0.52,0.52,0.52,987000
2016-03-16,0.48,0.5,0.48,0.5,0.5,602200
2016-03-17,0.52,0.54,0.52,0.52,0.52,1419600
2016-03-18,0.53,0.53,0.52,0.52,0.52,808200
2016-03-21,0.53,0.53,0.53,0.53,0.53,619800
2016-03-22,0.52,0.52,0.51,0.51,0.51,690000
2016-03-23,0.52,0.53,0.52,0.52,0.52,1981000
2016-03-24,0.53,0.53,0.52,0.52,0.52,1894400
2016-03-25,0.53,0.54,0.52,0.52,0.52,1899000
2016-03-28,0.54,0.55,0.54,0.55,0.55,1404000
2016-03-30,0.55,0.57,0.55,0.55,0.55,1290200
2016-04-01,0.57,0.58,0.57,0.57,0.57,2381500
2016-04-05,0.53,0.53,0.5,0.5,0.5,1660000
2016-04-08,0.46,0.47,0.46,0.47,0.47,1823400
2016-04-11,0.48,0.48,0.47,0.47,0.47,753000
2016-04-12,0.48,0.5,0.48,0.5,0.5,622400
2016-04-18,0.49,0.49,0.46,0.46,0.46,778000
2016-04-19,0.47,0.47,0.46,0.47,0.47,1211200
2016-04-20,0.46,0.46,0.45,0.45,0.45,233400
2016-04-21,0.46,0.48,0.46,0.48,0.48,778000
