Date,Open,High,Low,Close,Adj Close,Volume
2018-02-02,0.38,0.38,0.38,0.38,0.38,400
2018-02-05,0.33,0.33,0.31,0.31,0.31,1217800
2018-02-06,0.27,0.29,0.27,0.29,0.29,5030400
2018-02-07,0.3,0.3,0.28,0.29,0.29,2833300
2018-02-08,0.28,0.32,0.28,0.31,0.31,2156100
2018-02-09,0.28,0.29,0.28,0.29,0.29,5711700
2018-02-12,0.3,0.3,0.27,0.27,0.27,2888400
2018-02-13,0.28,0.28,0.28,0.28,0.28,57000
2018-02-14,0.28,0.29,0.28,0.28,0.28,1886600
2018-02-15,0.28,0.28,0.28,0.28,0.28,2092500
2018-02-19,0.27,0.28,0.26,0.26,0.26,2111200
2018-02-20,0.27,0.27,0.26,0.26,0.26,1434400
2018-02-21,0.24,0.24,0.24,0.24,0.24,15000
2018-02-22,0.22,0.22,0.22,0.22,0.22,1362900
2018-02-23,0.23,0.26,0.23,0.25,0.25,5465200
2018-02-26,0.26,0.27,0.26,0.27,0.27,3444400
2018-02-27,0.27,0.27,0.26,0.26,0.26,3175300
2018-02-28,0.25,0.26,0.25,0.25,0.25,615200
2018-03-02,0.26,0.28,0.26,0.26,0.26,7870700
2018-03-05,0.27,0.27,0.26,0.26,0.26,2385500
2018-03-06,0.26,0.29,0.26,0.26,0.26,7236600
2018-03-07,0.27,0.28,0.26,0.28,0.28,9661600
2018-03-08,0.27,0.27,0.25,0.27,0.27,2258100
2018-03-09,0.28,0.28,0.26,0.27,0.27,2573400
2018-03-12,0.28,0.34,0.28,0.32,0.32,10336500
2018-03-13,0.31,0.36,0.31,0.35,0.35,17934800
2018-03-14,0.38,0.47,0.38,0.44,0.44,23592300
2018-03-15,0.46,0.47,0.41,0.42,0.42,14454600
2018-03-16,0.42,0.44,0.4,0.41,0.41,7479400
2018-03-19,0.39,0.43,0.39,0.42,0.42,5053200
2018-03-20,0.4,0.44,0.4,0.43,0.43,7941300
2018-03-21,0.44,0.45,0.39,0.4,0.4,4201400
2018-03-22,0.4,0.41,0.39,0.39,0.39,2689100
2018-03-23,0.37,0.4,0.37,0.4,0.4,4385900
2018-03-26,0.4,0.41,0.39,0.41,0.41,4372200
