Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,0.54,0.55,0.54,0.55,0.55,1036600
2018-11-13,0.56,0.56,0.54,0.54,0.54,5398000
2018-11-14,0.54,0.55,0.53,0.53,0.53,6941400
2018-11-15,0.52,0.55,0.52,0.55,0.55,7639000
2018-11-16,0.55,0.57,0.55,0.56,0.56,8164900
2018-11-19,0.56,0.56,0.55,0.55,0.55,3717600
2018-11-20,0.56,0.57,0.56,0.56,0.56,3031700
2018-11-21,0.56,0.56,0.54,0.54,0.54,2776100
2018-11-22,0.55,0.56,0.55,0.56,0.56,6496200
2018-11-23,0.56,0.57,0.55,0.55,0.55,9519600
2018-11-26,0.55,0.55,0.53,0.53,0.53,3058800
2018-11-27,0.53,0.53,0.52,0.52,0.52,6738000
2018-11-28,0.51,0.54,0.51,0.53,0.53,16690300
2018-11-29,0.53,0.53,0.52,0.53,0.53,20965100
2018-11-30,0.53,0.53,0.52,0.52,0.52,4273500
2018-12-03,0.52,0.52,0.51,0.52,0.52,5083200
2018-12-04,0.51,0.52,0.51,0.51,0.51,5184300
2018-12-06,0.53,0.53,0.51,0.51,0.51,3664600
2018-12-07,0.51,0.51,0.51,0.51,0.51,717000
2018-12-11,0.51,0.53,0.51,0.52,0.52,2094400
2018-12-12,0.52,0.52,0.51,0.51,0.51,9087000
2018-12-13,0.52,0.52,0.52,0.52,0.52,8588300
2018-12-14,0.53,0.53,0.52,0.52,0.52,2637000
2018-12-17,0.52,0.56,0.52,0.55,0.55,18545900
2018-12-18,0.54,0.54,0.54,0.54,0.54,3347200
2018-12-19,0.55,0.57,0.54,0.54,0.54,14315100
2018-12-20,0.55,0.6,0.55,0.59,0.59,13424100
2018-12-21,0.61,0.61,0.57,0.57,0.57,327600
2018-12-24,0.6,0.6,0.58,0.6,0.6,20889800
2018-12-25,0.62,0.66,0.61,0.64,0.64,9434500
2018-12-26,0.67,0.68,0.66,0.66,0.66,22160600
2018-12-27,0.63,0.65,0.61,0.65,0.65,8468900
2018-12-28,0.67,0.68,0.65,0.65,0.65,11934800
2019-01-02,0.65,0.66,0.65,0.66,0.66,13966400
2019-01-03,0.66,0.66,0.65,0.66,0.66,1483800
2019-01-04,0.67,0.7,0.67,0.67,0.67,2757300
2019-01-07,0.64,0.66,0.62,0.63,0.63,7101400
2019-01-08,0.62,0.63,0.62,0.62,0.62,3092100
2019-01-09,0.62,0.62,0.62,0.62,0.62,5499200
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
