Date,Open,High,Low,Close,Adj Close,Volume
2012-02-02,0.8,0.8,0.77,0.77,0.77,300000
2012-02-06,0.8,0.83,0.8,0.81,0.81,490000
2012-02-07,0.82,0.82,0.82,0.82,0.82,10000
2012-02-08,0.88,0.89,0.88,0.89,0.89,420000
2012-02-09,0.85,0.86,0.83,0.84,0.84,527000
2012-02-10,0.85,0.85,0.83,0.83,0.83,553000
2012-02-13,0.85,0.85,0.85,0.85,0.85,1000
2012-02-14,0.79,0.79,0.79,0.79,0.79,1000
2012-02-16,0.77,0.77,0.72,0.72,0.72,745100
2012-02-17,0.72,0.72,0.71,0.71,0.71,402000
2012-02-20,0.73,0.73,0.73,0.73,0.73,20000
2012-02-21,0.7,0.71,0.7,0.71,0.71,700000
2012-02-23,0.68,0.68,0.68,0.68,0.68,503500
2012-02-24,0.68,0.68,0.68,0.68,0.68,207000
2012-02-27,0.66,0.66,0.65,0.65,0.65,830000
2012-02-29,0.72,0.78,0.72,0.78,0.78,60700
2012-03-01,0.75,0.75,0.75,0.75,0.75,100
2012-03-02,0.74,0.75,0.74,0.75,0.75,1100
2012-03-06,0.71,0.71,0.71,0.71,0.71,500
2012-03-08,0.75,0.96,0.75,0.96,0.96,731600
2012-03-09,0.94,1.07,0.93,1.07,1.07,221500
2012-03-12,1.05,1.13,1.03,1.03,1.03,1229500
2012-03-13,1.08,1.15,1.04,1.08,1.08,273300
2012-03-14,1.1,1.13,1.08,1.13,1.13,318000
2012-03-15,1.17,1.19,1.17,1.17,1.17,13000
2012-03-16,1.17,1.17,1.17,1.17,1.17,3100
2012-03-19,1.06,1.06,1.04,1.04,1.04,30300
2012-03-20,1.05,1.05,1.05,1.05,1.05,100
2012-03-22,0.97,0.97,0.97,0.97,0.97,100
2012-03-26,1.03,1.03,0.94,0.94,0.94,63200
2012-03-27,1,1,0.93,0.93,0.93,400500
2012-03-28,0.91,0.93,0.91,0.92,0.92,7900
2012-04-02,0.98,1,0.98,1,1,56500
2012-04-03,0.99,1,0.98,0.98,0.98,615000
2012-04-04,0.96,0.96,0.9,0.9,0.9,2159000
2012-04-05,0.9,0.9,0.87,0.87,0.87,1726500
2012-04-10,0.87,0.87,0.84,0.84,0.84,1000
2012-04-11,0.8,0.82,0.8,0.82,0.82,700
2012-04-12,0.85,0.85,0.85,0.85,0.85,300
2012-04-17,0.84,0.84,0.82,0.82,0.82,2000
2012-04-18,0.85,0.85,0.85,0.85,0.85,500
2012-04-19,0.83,0.83,0.83,0.83,0.83,2500
2012-04-20,0.89,0.97,0.89,0.97,0.97,140400
2012-04-23,0.9,0.9,0.9,0.9,0.9,70600
2012-04-24,0.91,0.93,0.91,0.93,0.93,49000
2012-04-25,0.95,1.01,0.95,1.01,1.01,41000
2012-04-26,1.02,1.02,1.01,1.01,1.01,129000
2012-04-27,0.93,0.93,0.93,0.93,0.93,100
2012-04-30,0.92,0.92,0.89,0.9,0.9,63900
2012-05-02,0.94,0.98,0.94,0.98,0.98,4000
2012-05-03,0.98,0.98,0.98,0.98,0.98,100
2012-05-04,0.94,0.97,0.93,0.93,0.93,900
2012-05-10,0.97,1.33,0.97,1.33,1.33,681000
2012-05-11,1.3,1.42,1.09,1.09,1.09,880200
2012-05-14,1.14,1.14,0.96,0.96,0.96,201800
2012-05-15,1.02,1.02,1.02,1.02,1.02,2000
2012-05-21,1.12,1.12,1.12,1.12,1.12,200000
