Date,Open,High,Low,Close,Adj Close,Volume
2012-11-15,1.28,1.28,1.28,1.28,1.28,600000
2012-11-16,1.28,1.28,1.27,1.27,1.27,2000
2012-11-21,1.33,1.34,1.32,1.33,1.33,170000
2012-11-22,1.28,1.28,1.28,1.28,1.28,100000
2012-11-23,1.27,1.27,1.24,1.24,1.24,40000
2012-12-03,1.14,1.14,1.12,1.12,1.12,88000
2012-12-04,1.13,1.13,1.13,1.13,1.13,100
2012-12-06,1.13,1.13,1.13,1.13,1.13,79900
2012-12-07,1.17,1.17,1.17,1.17,1.17,8000
2012-12-11,1.16,1.16,1.16,1.16,1.16,100
2012-12-17,1.14,1.14,1.14,1.14,1.14,100
2012-12-19,1.13,1.13,1.13,1.13,1.13,100
2012-12-20,1.14,1.14,1.14,1.14,1.14,100
2012-12-25,1.11,1.11,1.11,1.11,1.11,200000
2012-12-26,0.97,1.02,0.97,0.97,0.97,248200
2012-12-27,1,1.02,1,1.02,1.02,54000
2012-12-28,0.95,0.98,0.95,0.98,0.98,94100
2013-01-02,0.96,0.99,0.96,0.99,0.99,208000
2013-01-03,0.97,1,0.97,1,1,40100
2013-01-07,0.99,0.99,0.99,0.99,0.99,200
2013-01-10,1.03,1.03,1.03,1.03,1.03,100
2013-01-14,1.05,1.05,1.05,1.05,1.05,100
2013-01-15,1,1,1,1,1,100
2013-01-16,1.03,1.03,1.03,1.03,1.03,100
2013-01-18,0.92,0.92,0.88,0.88,0.88,48000
2013-01-21,0.81,0.83,0.71,0.71,0.71,320700
2013-01-22,0.75,0.79,0.75,0.79,0.79,43500
2013-01-23,0.79,0.85,0.77,0.77,0.77,190000
2013-01-24,0.75,0.76,0.75,0.76,0.76,254000
2013-01-25,0.75,0.76,0.73,0.75,0.75,170000
2013-01-28,0.72,0.72,0.56,0.56,0.56,602200
2013-01-29,0.59,0.59,0.53,0.53,0.53,260000
2013-01-30,0.53,0.53,0.45,0.45,0.45,1880800
2013-01-31,0.45,0.53,0.42,0.53,0.53,3591500
2013-02-01,0.52,0.55,0.47,0.47,0.47,1699000
2013-02-04,0.49,0.5,0.49,0.49,0.49,280500
2013-02-05,0.53,0.54,0.49,0.49,0.49,958300
2013-02-06,0.48,0.49,0.48,0.48,0.48,1506300
2013-02-07,0.47,0.49,0.47,0.49,0.49,148000
2013-02-08,0.46,0.46,0.42,0.42,0.42,1184100
2013-02-11,0.41,0.41,0.35,0.35,0.35,609700
2013-02-12,0.36,0.46,0.31,0.46,0.46,351500
2013-02-13,0.42,0.56,0.41,0.41,0.41,1662400
2013-02-14,0.48,0.52,0.48,0.48,0.48,300
2013-02-15,0.51,0.51,0.51,0.51,0.51,100000
2013-02-18,0.47,0.59,0.47,0.54,0.54,310000
2013-02-20,0.49,0.49,0.47,0.49,0.49,48100
2013-02-22,0.47,0.47,0.47,0.47,0.47,100
2013-02-26,0.43,0.49,0.43,0.47,0.47,1849000
2013-02-27,0.45,0.45,0.42,0.45,0.45,456000
2013-02-28,0.41,0.41,0.38,0.39,0.39,548600
2013-03-01,0.37,0.37,0.35,0.36,0.36,520000
2013-03-04,0.34,0.37,0.34,0.36,0.36,460000
2013-03-05,0.32,0.32,0.26,0.3,0.3,1405000
2013-03-06,0.27,0.3,0.26,0.27,0.27,2901600
2013-03-07,0.25,0.26,0.18,0.18,0.18,3434400
2013-03-08,0.17,0.21,0.17,0.2,0.2,2268600
2013-03-11,0.14,0.17,0.13,0.13,0.13,991700
2013-03-12,0.11,0.14,0.11,0.14,0.14,772000
2013-03-13,0.14,0.15,0.12,0.14,0.14,1291600
2013-03-14,0.13,0.13,0.12,0.12,0.12,850000
2013-03-15,0.12,0.12,0.12,0.12,0.12,860200
2013-03-18,0.12,0.12,0.05,0.06,0.06,4311500
2013-03-19,0.04,0.04,0.02,0.04,0.04,466000
2013-03-21,0.04,0.04,0.03,0.03,0.03,1200000
2013-03-22,0.12,0.12,0.07,0.07,0.07,368800
2013-03-25,0.02,0.02,0.01,0.02,0.02,905100
2013-03-26,0.01,0.01,0.01,0.01,0.01,708000
2013-03-27,0.01,0.01,0.01,0.01,0.01,1101500
