Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,0.5,0.5,0.5,0.5,0.5,5000
2017-04-04,0.51,0.51,0.47,0.47,0.47,405200
2017-04-05,0.47,0.47,0.47,0.47,0.47,125600
2017-04-07,0.47,0.47,0.45,0.45,0.45,785200
2017-04-11,0.45,0.46,0.44,0.44,0.44,334000
2017-04-12,0.45,0.46,0.45,0.45,0.45,130300
2017-04-17,0.43,0.43,0.43,0.43,0.43,255900
2017-04-18,0.44,0.44,0.44,0.44,0.44,62800
2017-04-19,0.43,0.43,0.43,0.43,0.43,374000
2017-04-20,0.41,0.42,0.41,0.42,0.42,478300
2017-04-21,0.42,0.42,0.42,0.42,0.42,251200
2017-04-25,0.4,0.4,0.4,0.4,0.4,62800
2017-04-26,0.39,0.39,0.39,0.39,0.39,62800
2017-04-27,0.39,0.4,0.39,0.4,0.4,188400
2017-04-28,0.41,0.42,0.41,0.41,0.41,712200
2017-05-02,0.42,0.42,0.42,0.42,0.42,92800
2017-05-03,0.43,0.44,0.43,0.43,0.43,141400
2017-05-04,0.43,0.43,0.43,0.43,0.43,150800
2017-05-05,0.42,0.42,0.41,0.41,0.41,605600
2017-05-08,0.42,0.42,0.42,0.42,0.42,503200
2017-05-09,0.42,0.42,0.41,0.41,0.41,119800
2017-05-11,0.39,0.39,0.36,0.37,0.37,1091300
2017-05-12,0.36,0.36,0.35,0.36,0.36,1657200
2017-05-15,0.36,0.38,0.35,0.35,0.35,564400
2017-05-16,0.34,0.35,0.34,0.35,0.35,1158400
2017-05-17,0.36,0.37,0.35,0.35,0.35,310400
2017-05-18,0.35,0.35,0.35,0.35,0.35,201600
2017-05-19,0.35,0.35,0.35,0.35,0.35,100800
2017-05-22,0.34,0.34,0.34,0.34,0.34,504000
2017-05-23,0.34,0.34,0.34,0.34,0.34,1209600
2017-05-24,0.33,0.34,0.33,0.33,0.33,554400
2017-05-25,0.34,0.34,0.34,0.34,0.34,201600
2017-05-26,0.34,0.34,0.34,0.34,0.34,359700
2017-05-29,0.34,0.35,0.34,0.35,0.35,762900
2017-05-31,0.34,0.34,0.34,0.34,0.34,20000
2017-06-01,0.33,0.33,0.3,0.3,0.3,1201000
2017-06-02,0.3,0.3,0.3,0.3,0.3,201600
2017-06-05,0.31,0.31,0.3,0.3,0.3,210800
2017-06-06,0.28,0.28,0.28,0.28,0.28,839800
2017-06-07,0.29,0.29,0.28,0.28,0.28,176300
2017-06-08,0.3,0.31,0.28,0.31,0.31,2217700
2017-06-09,0.31,0.31,0.29,0.29,0.29,1582700
2017-06-12,0.29,0.3,0.29,0.3,0.3,1740300
2017-06-13,0.3,0.33,0.3,0.32,0.32,2508800
2017-06-14,0.32,0.32,0.32,0.32,0.32,150900
2017-06-15,0.31,0.31,0.29,0.29,0.29,605000
2017-06-16,0.31,0.31,0.3,0.3,0.3,307500
2017-06-19,0.31,0.31,0.31,0.31,0.31,804800
2017-06-20,0.31,0.31,0.31,0.31,0.31,520000
2017-06-21,0.3,0.3,0.3,0.3,0.3,1023400
2017-06-22,0.3,0.3,0.29,0.29,0.29,1970600
2017-06-23,0.3,0.3,0.29,0.29,0.29,1078000
2017-06-26,0.3,0.31,0.3,0.3,0.3,1051100
2017-06-27,0.3,0.3,0.3,0.3,0.3,180000
2017-06-28,0.29,0.29,0.29,0.29,0.29,295800
2017-06-29,0.31,0.32,0.3,0.3,0.3,2119100
2017-06-30,0.29,0.3,0.29,0.3,0.3,638800
2017-07-03,0.29,0.29,0.29,0.29,0.29,100800
2017-07-04,0.29,0.29,0.29,0.29,0.29,403200
2017-07-07,0.27,0.27,0.27,0.27,0.27,226600
2017-07-11,0.27,0.27,0.25,0.25,0.25,201800
2017-07-12,0.25,0.25,0.25,0.25,0.25,846400
2017-07-13,0.25,0.26,0.25,0.25,0.25,421600
2017-07-17,0.24,0.25,0.24,0.25,0.25,100100
2017-07-18,0.22,0.22,0.22,0.22,0.22,200800
2017-07-19,0.22,0.22,0.22,0.22,0.22,60200
2017-07-20,0.23,0.23,0.23,0.23,0.23,325800
2017-07-21,0.22,0.22,0.21,0.21,0.21,861600
2017-07-24,0.21,0.21,0.19,0.19,0.19,2231200
2017-07-25,0.18,0.19,0.18,0.19,0.19,1266000
2017-07-26,0.19,0.19,0.18,0.18,0.18,260500
2017-07-27,0.19,0.19,0.19,0.19,0.19,200800
2017-07-31,0.18,0.18,0.18,0.18,0.18,100800
2017-08-01,0.18,0.18,0.18,0.18,0.18,20000
2017-08-02,0.18,0.18,0.18,0.18,0.18,1320400
2017-08-03,0.19,0.19,0.19,0.19,0.19,10000
2017-08-04,0.18,0.18,0.18,0.18,0.18,1358700
2017-08-07,0.18,0.18,0.18,0.18,0.18,100800
2017-08-08,0.18,0.18,0.18,0.18,0.18,100800
2017-08-09,0.18,0.18,0.18,0.18,0.18,102800
2017-08-10,0.17,0.17,0.16,0.16,0.16,725600
2017-08-11,0.16,0.16,0.14,0.14,0.14,57000
2017-08-15,0.14,0.15,0.14,0.14,0.14,708200
2017-08-16,0.13,0.13,0.1,0.11,0.11,1861600
2017-08-17,0.1,0.1,0.09,0.09,0.09,1735200
2017-08-18,0.09,0.09,0.09,0.09,0.09,1836200
2017-08-21,0.09,0.09,0.08,0.08,0.08,50100
2017-08-22,0.09,0.1,0.09,0.1,0.1,1663400
2017-08-23,0.11,0.11,0.1,0.1,0.1,1203800
2017-08-25,0.1,0.1,0.1,0.1,0.1,300
2017-08-28,0.1,0.1,0.09,0.09,0.09,103000
2017-08-29,0.1,0.13,0.09,0.12,0.12,2340200
2017-08-30,0.14,0.15,0.14,0.14,0.14,1370600
2017-08-31,0.13,0.13,0.11,0.13,0.13,563200
2017-09-01,0.13,0.13,0.12,0.12,0.12,201600
2017-09-04,0.13,0.14,0.12,0.14,0.14,1223300
2017-09-05,0.15,0.19,0.15,0.18,0.18,1307200
2017-09-06,0.18,0.19,0.17,0.18,0.18,1814400
2017-09-07,0.19,0.21,0.19,0.21,0.21,956000
2017-09-08,0.21,0.22,0.19,0.19,0.19,1613000
2017-09-11,0.18,0.19,0.18,0.18,0.18,403200
2017-09-12,0.18,0.22,0.17,0.21,0.21,967200
2017-09-13,0.21,0.21,0.2,0.2,0.2,201600
2017-09-14,0.19,0.19,0.18,0.18,0.18,907700
2017-09-15,0.19,0.19,0.19,0.19,0.19,1008000
2017-09-18,0.2,0.25,0.2,0.25,0.25,3407800
2017-09-19,0.25,0.25,0.22,0.22,0.22,1469700
2017-09-20,0.24,0.26,0.24,0.25,0.25,831600
2017-09-21,0.26,0.26,0.24,0.24,0.24,312400
2017-09-22,0.22,0.22,0.19,0.19,0.19,529000
2017-09-25,0.18,0.21,0.18,0.2,0.2,907200
2017-09-26,0.2,0.22,0.2,0.21,0.21,957200
2017-09-27,0.2,0.2,0.19,0.19,0.19,455200
2017-09-28,0.18,0.18,0.18,0.18,0.18,302400
2017-09-29,0.18,0.2,0.18,0.18,0.18,1008000
2017-10-02,0.18,0.19,0.18,0.19,0.19,403200
2017-10-03,0.19,0.2,0.19,0.2,0.2,504000
2017-10-05,0.18,0.19,0.18,0.19,0.19,453600
2017-10-06,0.19,0.2,0.19,0.19,0.19,1046000
2017-10-10,0.17,0.18,0.17,0.18,0.18,403200
2017-10-11,0.19,0.19,0.18,0.18,0.18,302400
2017-10-16,0.17,0.17,0.17,0.17,0.17,201600
2017-10-17,0.21,0.22,0.2,0.22,0.22,117000
2017-10-20,0.14,0.14,0.14,0.14,0.14,200800
