Date,Open,High,Low,Close,Adj Close,Volume
2013-10-29,9.11,9.32,9.1,9.32,9.32,26
2013-10-30,9.31,9.33,8.86,8.9,8.9,335
2013-10-31,8.71,8.93,8.65,8.9,8.9,107
2013-11-01,8.75,8.8,8.7,8.71,8.71,157
2013-11-04,8.36,8.41,7.85,7.9,7.9,228
2013-11-05,8.05,8.5,8.04,8.4,8.4,203
2013-11-06,8.5,8.59,8.41,8.41,8.41,20
2013-11-07,8.42,8.7,8.38,8.5,8.5,98
2013-11-08,8.36,8.4,8.15,8.21,8.21,42
2013-11-11,7.91,8.19,7.91,8.1,8.1,82
2013-11-12,8.35,8.48,8.29,8.35,8.35,36
2013-11-13,8.34,8.5,8.32,8.42,8.42,57
2013-11-14,8.45,8.82,8.45,8.7,8.7,176
2013-11-15,8.87,9.1,8.65,9.06,9.06,204
2013-11-18,9.32,9.32,9.05,9.09,9.09,676
2013-11-19,9.05,9.11,9,9.1,9.1,102
2013-11-20,9.12,9.39,8.94,9.08,9.08,649
2013-11-21,8.86,8.92,8.6,8.63,8.63,311
2013-11-22,8.63,8.79,8.51,8.76,8.76,306
2013-11-25,8.66,8.78,8.64,8.65,8.65,72
2013-11-26,8.7,8.91,8.7,8.8,8.8,103
2013-11-27,8.8,9.16,8.8,9.11,9.11,166
2013-11-28,9.16,9.16,8.85,8.95,8.95,320
2013-11-29,8.86,8.94,8.77,8.9,8.9,286
2013-12-02,8.68,8.85,8.65,8.85,8.85,171
2013-12-03,8.86,9.19,8.86,9.19,9.19,385
2013-12-04,9.13,9.19,9.05,9.05,9.05,233
2013-12-06,9.1,9.15,9,9.1,9.1,281
2013-12-09,9.25,9.25,9.09,9.11,9.11,205
2013-12-11,9.1,9.13,9.01,9.02,9.02,116
2013-12-12,8.98,8.99,8.39,8.42,8.42,1427
2013-12-13,8.48,8.59,8.35,8.44,8.44,632
2013-12-16,8.31,8.56,8.3,8.49,8.49,486
2013-12-17,8.53,8.55,8.44,8.45,8.45,292
2013-12-18,8.48,8.65,8.48,8.61,8.61,737
2013-12-19,8.65,8.65,8.34,8.61,8.61,1789
2013-12-20,8.57,8.58,8.44,8.55,8.55,925
2013-12-23,8.63,8.63,8.47,8.49,8.49,782
2013-12-24,8.48,8.53,8.39,8.4,8.4,1262
2013-12-25,8.35,8.49,8.31,8.48,8.48,1707
2013-12-26,8.44,8.48,7.85,7.85,7.85,5427
2013-12-27,7.88,7.92,7.46,7.53,7.53,5419
2014-01-02,7.52,7.59,6.66,6.67,6.67,5787
2014-01-03,6.64,7.09,6.5,6.76,6.76,6162
2014-01-06,6.7,6.97,6.45,6.96,6.96,5230
2014-01-07,6.99,7.12,6.86,7.1,7.1,3188
2014-01-08,7.01,7.06,6.7,6.74,6.74,4213
2014-01-09,6.76,6.97,6.7,6.8,6.8,3435
2014-01-10,6.77,6.77,6.55,6.68,6.68,4094
2014-01-13,6.52,7.15,6.5,7.13,7.13,4550
2014-01-14,7.05,7.86,7.01,7.71,7.71,8958
2014-01-15,7.8,7.95,7.54,7.54,7.54,5976
2014-01-16,7.6,8.1,7.6,7.99,7.99,5890
2014-01-17,7.99,8.04,7.65,7.8,7.8,5691
2014-01-20,7.72,7.95,7.7,7.79,7.79,2653
2014-01-21,7.79,7.97,7.65,7.79,7.79,6490
2014-01-22,7.62,7.84,7.62,7.8,7.8,3529
2014-01-23,7.75,7.95,7.48,7.52,7.52,7477
2014-01-24,7.52,7.62,7.27,7.5,7.5,6097
2014-01-27,7.37,7.42,7.3,7.32,7.32,5052
2014-01-28,7.32,7.4,7.01,7.1,7.1,7268
2014-01-29,7.15,7.2,7.07,7.08,7.08,3023
2014-01-30,7.01,7.08,6.86,7.01,7.01,3036
2014-01-31,7.03,7.19,7.03,7.15,7.15,3340
2014-02-03,7.19,7.48,7.19,7.39,7.39,5056
2014-02-04,7.28,7.28,7.15,7.22,7.22,2663
2014-02-05,7.24,7.3,7.09,7.14,7.14,2766
2014-02-06,7.15,7.33,7.13,7.32,7.32,2873
2014-02-07,7.38,7.4,7.23,7.26,7.26,2973
2014-02-10,7.29,7.35,7.16,7.16,7.16,2127
2014-02-11,7.22,7.24,7.15,7.22,7.22,1436
2014-02-12,7.24,7.4,7.22,7.39,7.39,2547
2014-02-13,7.36,7.39,7.22,7.28,7.28,2173
2014-02-17,7.34,7.58,7.25,7.54,7.54,3965
2014-02-18,7.5,7.54,7.3,7.37,7.37,4075
2014-02-19,7.38,7.45,7.34,7.39,7.39,2324
2014-02-20,7.34,7.37,7.19,7.2,7.2,4006
2014-02-21,7.25,7.34,7.17,7.28,7.28,2559
2014-02-24,7.26,7.39,7.2,7.33,7.33,2274
2014-02-25,7.36,7.42,7.28,7.31,7.31,1414
2014-02-26,7.31,7.36,7.29,7.31,7.31,586
2014-02-27,7.32,7.4,7.31,7.35,7.35,1462
2014-02-28,7.34,7.35,7.24,7.33,7.33,1454
