Date,Open,High,Low,Close,Adj Close,Volume
2014-10-30,8,8.05,7.1,7.3,7.3,600370000
2014-10-31,7.45,7.6,7.2,7.25,7.25,105655600
2014-11-03,7.3,9.4,7.25,9.4,9.4,599177800
2014-11-04,9.95,10.8,9.7,10.1,10.1,586958900
2014-11-05,10.3,10.8,9.95,10.2,10.2,183914600
2014-11-06,10.4,11.3,10.1,10.5,10.5,351407600
2014-11-07,10.7,10.9,10.3,10.5,10.5,97845400
2014-11-10,10.3,10.4,9.8,9.95,9.95,31796300
2014-11-11,9.9,10,9,9.25,9.25,41441400
2014-11-12,9.2,9.9,9.15,9.45,9.45,36607400
2014-11-13,9.45,9.45,8.95,9.1,9.1,19212700
2014-11-14,9.1,9.3,8.15,8.3,8.3,55072200
2014-11-17,8.3,8.35,7.3,7.95,7.95,73625100
2014-11-18,7.95,8.5,7.55,8.4,8.4,44636300
2014-11-19,8.35,8.55,8,8.55,8.55,32250500
2014-11-20,8.5,9.7,8.35,9.7,9.7,70808000
2014-11-21,9.55,9.75,9.1,9.4,9.4,41674800
2014-11-24,9.55,9.55,8.8,9.15,9.15,23690900
2014-11-25,8.85,9.15,8.3,8.5,8.5,29009900
2014-11-26,8.5,8.5,8.25,8.25,8.25,19034500
2014-11-27,8.25,8.9,8.2,8.9,8.9,19919900
2014-11-28,8.9,9.1,8.55,8.65,8.65,19869500
2014-12-01,8.5,8.55,8.2,8.35,8.35,20802200
2014-12-02,8.3,8.7,8.25,8.5,8.5,14592300
2014-12-03,8.55,8.55,8.3,8.5,8.5,7127000
2014-12-04,8.5,8.9,8.35,8.8,8.8,26410200
2014-12-08,8.75,9.2,8.6,8.9,8.9,42445500
2014-12-09,8.9,9.35,8.75,9.35,9.35,57761200
2014-12-11,9.2,9.25,8.35,8.8,8.8,46444300
2014-12-12,8.8,8.85,8.6,8.8,8.8,11265000
2014-12-15,8.6,8.7,6.2,8.15,8.15,35779000
2014-12-16,7.9,8.4,7.65,8.25,8.25,14693300
2014-12-17,8.3,8.6,8.2,8.45,8.45,17612500
2014-12-18,8.55,8.85,8.45,8.85,8.85,16326600
2014-12-19,8.9,9,8.6,9,9,17341700
2014-12-22,9.2,9.3,8.8,8.8,8.8,59594400
2014-12-23,8.85,8.9,8.55,8.55,8.55,15697200
2014-12-24,8.6,8.75,8.3,8.4,8.4,21316100
2014-12-25,8.3,8.4,8,8.1,8.1,22121300
2014-12-26,8.1,8.45,8,8,8,36131700
2014-12-29,8.05,8.15,7.95,7.95,7.95,9464100
2014-12-30,7.9,7.95,7.65,7.8,7.8,13395200
2015-01-05,7.8,8.25,7.8,8.15,8.15,11543800
2015-01-06,8,8.2,7.95,8.1,8.1,9033800
2015-01-07,8.2,8.4,8.1,8.2,8.2,16162200
2015-01-08,8.3,8.35,8.1,8.1,8.1,11595700
2015-01-09,8.15,8.15,8,8.05,8.05,11502400
2015-01-12,8.05,8.3,7.95,8.05,8.05,20644400
2015-01-13,8.05,8.15,7.95,8,8,11950800
2015-01-14,8,8.1,7.9,7.9,7.9,13434900
2015-01-15,7.95,7.95,7.8,7.8,7.8,7483000
2015-01-16,7.8,7.8,7.7,7.7,7.7,9948900
2015-01-19,7.75,8.2,7.75,8.1,8.1,35074200
2015-01-20,8.2,8.25,7.85,7.85,7.85,18790400
2015-01-21,7.9,7.95,7.8,7.8,7.8,12716100
2015-01-22,7.85,7.95,7.8,7.85,7.85,9642200
2015-01-23,7.9,7.95,7.7,7.7,7.7,13807900
2015-01-26,7.8,7.85,7.45,7.55,7.55,14042300
2015-01-27,7.55,7.6,7.35,7.35,7.35,17217500
2015-01-28,7.4,7.65,7.3,7.45,7.45,22969200
2015-01-29,7.5,7.7,7.4,7.5,7.5,16999200
2015-01-30,7.6,7.6,7.4,7.4,7.4,6885600
2015-02-02,7.4,7.5,7.35,7.45,7.45,5368000
2015-02-03,7.45,7.5,7.35,7.45,7.45,6061400
2015-02-04,7.5,8.25,7.45,7.75,7.75,110033000
2015-02-05,7.85,8,7.75,7.85,7.85,27194000
2015-02-06,8.05,8.5,7.95,8.4,8.4,96880800
2015-02-09,8.45,9,8.4,8.8,8.8,129872100
2015-02-10,8.85,8.9,8.25,8.3,8.3,73073600
2015-02-11,8.4,8.6,8.25,8.5,8.5,57256600
2015-02-12,8.75,8.85,8.6,8.65,8.65,72867700
2015-02-13,8.7,8.8,8.45,8.5,8.5,30931600
2015-02-16,8.55,8.7,8.35,8.35,8.35,22697900
2015-02-17,8.4,8.45,8,8.05,8.05,28309700
2015-02-18,8.1,8.25,8,8.1,8.1,9258700
2015-02-19,8.15,8.4,8.15,8.25,8.25,12939100
2015-02-20,8.3,8.55,8.25,8.25,8.25,22729300
2015-02-23,8.35,8.4,8.15,8.2,8.2,9420500
2015-02-24,8.2,8.25,8.1,8.1,8.1,7388400
2015-02-25,8.15,8.25,7.9,8,8,14632000
2015-02-26,8.05,8.1,7.75,7.8,7.8,13413000
2015-02-27,7.85,8.05,7.8,7.9,7.9,6076000
2015-03-02,7.95,8.05,7.75,7.75,7.75,7750600
2015-03-03,7.85,7.85,7.45,7.5,7.5,14071100
2015-03-05,7.5,7.5,7.35,7.4,7.4,6117000
2015-03-06,7.5,7.85,7.5,7.8,7.8,9811700
2015-03-09,7.75,7.85,7.65,7.65,7.65,5944000
2015-03-10,7.7,7.8,7.5,7.55,7.55,4691300
2015-03-11,7.5,7.6,7.45,7.5,7.5,2748000
2015-03-12,7.6,7.6,7.45,7.55,7.55,2325700
2015-03-13,7.6,7.75,7.5,7.7,7.7,6858700
2015-03-16,7.7,7.7,7.35,7.4,7.4,8992500
2015-03-17,7.4,7.5,7.05,7.05,7.05,10474500
2015-03-18,7.15,7.25,7.05,7.15,7.15,3961700
2015-03-19,7.25,7.3,7.05,7.05,7.05,3902600
2015-03-20,7.05,7.15,6.9,6.95,6.95,5975300
2015-03-23,6.9,6.95,6.55,6.55,6.55,8004400
2015-03-24,6.55,6.6,6.2,6.3,6.3,6195300
2015-03-25,6.35,6.65,6.3,6.55,6.55,3340000
2015-03-26,6.4,6.6,6.3,6.3,6.3,4472500
2015-03-27,6.3,6.4,6.2,6.25,6.25,2627500
2015-03-30,6.3,6.45,6.25,6.3,6.3,3942500
2015-03-31,6.35,6.6,6.3,6.45,6.45,5824100
2015-04-01,6.5,6.75,6.4,6.7,6.7,6211000
2015-04-02,6.75,7,6.7,6.75,6.75,12449200
2015-04-03,6.8,6.85,6.65,6.7,6.7,3682200
2015-04-07,6.7,6.75,6.45,6.5,6.5,5546800
2015-04-08,6.5,6.75,6.45,6.65,6.65,6404000
2015-04-09,6.7,6.7,6.55,6.55,6.55,1573600
2015-04-10,6.6,6.6,6.45,6.6,6.6,2877300
2015-04-16,6.6,6.85,6.55,6.75,6.75,4711900
2015-04-17,6.8,7.1,6.75,6.85,6.85,15519900
2015-04-20,6.8,6.9,6.75,6.8,6.8,2308600
2015-04-21,6.8,7,6.8,6.95,6.95,5660100
2015-04-22,6.95,6.95,6.7,6.75,6.75,3865200
2015-04-23,6.85,6.9,6.65,6.7,6.7,2951300
2015-04-24,6.85,7.05,6.85,6.95,6.95,22670100
2015-04-27,6.95,7.1,6.85,6.85,6.85,11887800
2015-04-28,6.9,6.95,6.7,6.7,6.7,4486400
2015-04-29,6.75,6.9,6.75,6.75,6.75,5268700
2015-04-30,6.75,6.8,6.7,6.7,6.7,2113600
2015-05-06,6.7,6.7,6.5,6.5,6.5,2635500
2015-05-07,6.55,6.6,6.35,6.35,6.35,1940400
2015-05-08,6.4,6.4,6.25,6.35,6.35,2277000
2015-05-11,6.35,6.45,6.2,6.2,6.2,1701800
2015-05-12,6.3,6.4,6,6.1,6.1,7738700
2015-05-13,6.2,6.45,6.15,6.35,6.35,8813900
2015-05-14,6.3,6.4,6.15,6.3,6.3,5118100
2015-05-15,6.3,6.5,6.25,6.5,6.5,5954800
2015-05-18,6.45,6.45,6.3,6.3,6.3,3584500
2015-05-19,6.35,6.45,6.3,6.4,6.4,2949300
2015-05-20,6.4,6.45,6.3,6.3,6.3,3352000
2015-05-21,6.35,6.5,6.25,6.45,6.45,6894700
2015-05-22,6.5,6.5,6.3,6.4,6.4,2987100
2015-05-25,6.45,6.45,6.25,6.25,6.25,4800200
2015-05-26,6.3,6.35,6.2,6.2,6.2,4288700
2015-05-27,6.25,6.3,6.15,6.3,6.3,2909100
2015-05-28,6.3,6.4,6.25,6.25,6.25,1986900
2015-05-29,6.25,6.55,6.25,6.55,6.55,13093100
2015-06-02,6.55,6.55,6.35,6.35,6.35,4112800
2015-06-03,6.35,6.5,6.3,6.45,6.45,6203800
2015-06-04,6.5,6.55,6.35,6.5,6.5,4022300
2015-06-05,6.45,6.7,6.45,6.55,6.55,10122700
2015-06-08,6.55,6.65,6.5,6.55,6.55,1675100
2015-06-09,6.5,6.5,6.3,6.35,6.35,4216700
2015-06-10,6.4,6.5,6.35,6.45,6.45,2536000
2015-06-11,6.5,6.5,6.4,6.4,6.4,1518500
2015-06-12,6.45,6.5,6.3,6.35,6.35,4314700
2015-06-15,6.35,6.4,6.25,6.3,6.3,2367200
2015-06-16,6.3,6.4,6.25,6.3,6.3,2305100
2015-06-17,6.3,6.75,6.3,6.75,6.75,19261500
2015-06-18,6.9,7.05,6.8,6.8,6.8,26459600
2015-06-19,6.85,6.95,6.65,6.7,6.7,8080100
2015-06-22,6.75,7.2,6.75,7.2,7.2,25596900
2015-06-23,7.25,7.3,7.05,7.1,7.1,30988200
2015-06-24,7.15,7.35,7.15,7.3,7.3,24369200
2015-06-25,7.3,7.3,7.1,7.2,7.2,16933100
2015-06-26,7.2,7.2,7,7,7,8410000
2015-06-29,6.75,6.9,6.75,6.85,6.85,9856400
2015-06-30,6.85,6.9,6.6,6.65,6.65,8004600
2015-07-02,6.7,6.85,6.65,6.65,6.65,6424600
2015-07-03,6.7,6.7,6.55,6.55,6.55,3629600
2015-07-06,6.45,6.6,6.35,6.45,6.45,6769100
2015-07-07,6.5,6.6,6.45,6.55,6.55,4740500
2015-07-08,6.45,6.5,6.4,6.4,6.4,2918700
2015-07-09,6.4,6.55,6.35,6.5,6.5,2240300
2015-07-10,6.55,6.6,6.45,6.45,6.45,1712500
2015-07-13,6.5,6.65,6.4,6.6,6.6,5493600
2015-07-14,6.7,6.7,6.55,6.55,6.55,2865400
2015-07-15,6.6,6.95,6.6,6.85,6.85,14334300
2015-07-16,6.85,7,6.7,7,7,14002500
2015-07-17,7.1,7.1,6.85,6.85,6.85,16851300
2015-07-20,6.9,6.95,6.7,6.7,6.7,4563900
2015-07-21,6.7,6.75,6.35,6.45,6.45,7767600
2015-07-22,6.35,6.55,6.35,6.55,6.55,2793300
2015-07-23,6.55,6.6,6.5,6.6,6.6,1077600
2015-07-24,6.55,6.55,6.4,6.45,6.45,1901000
2015-07-27,6.4,6.45,6.3,6.3,6.3,2556600
2015-07-28,6.25,6.35,5.8,5.95,5.95,13433800
2015-07-29,5.95,6,5.8,5.9,5.9,4141800
2015-07-31,6,6.05,5.95,6,6,1432100
2015-08-03,6,6.05,5.9,6,6,2034700
2015-08-04,6,6.25,5.95,6.25,6.25,4407600
2015-08-05,6.25,6.5,6.25,6.5,6.5,7406100
2015-08-06,6.5,6.55,6.4,6.45,6.45,3353600
2015-08-07,6.35,6.5,6.35,6.5,6.5,1237400
2015-08-10,6.5,6.5,6.35,6.4,6.4,1301600
2015-08-11,6.4,6.4,6.05,6.15,6.15,4183800
2015-08-13,6.1,6.1,5.95,6.05,6.05,3021400
2015-08-14,6.05,6.3,6.05,6.2,6.2,2777200
2015-08-17,6.3,6.3,6.1,6.25,6.25,728700
2015-08-18,5.9,6.15,5.9,6,6,5476400
2015-08-19,6,6.15,5.95,6.1,6.1,1199200
2015-08-20,6.1,6.15,6,6.1,6.1,1428900
2015-08-21,6.15,6.15,6,6.1,6.1,1430400
2015-08-24,5.9,6,5.4,5.55,5.55,8972400
2015-08-25,5.65,5.7,5.15,5.4,5.4,5358600
2015-08-26,5.4,5.55,5.3,5.45,5.45,3035000
2015-08-27,5.65,5.85,5.55,5.8,5.8,5469700
2015-08-28,5.85,6.05,5.7,5.75,5.75,5195000
2015-08-31,5.75,5.85,5.6,5.65,5.65,4397700
2015-09-01,5.65,5.75,5.5,5.5,5.5,3380400
2015-09-02,5.5,5.65,5.45,5.55,5.55,1573600
2015-09-03,5.65,5.95,5.6,5.9,5.9,6562400
2015-09-04,5.95,6.05,5.65,5.7,5.7,5375000
2015-09-07,5.65,5.9,5.65,5.85,5.85,1092200
2015-09-08,5.9,5.9,5.75,5.8,5.8,728700
2015-09-09,5.85,6.05,5.85,5.85,5.85,7051300
2015-09-10,5.85,5.95,5.8,5.85,5.85,4020700
2015-09-11,5.95,6.1,5.75,5.75,5.75,16240300
2015-09-14,5.8,5.85,5.65,5.65,5.65,2677800
2015-09-15,5.65,5.75,5.55,5.55,5.55,1479900
2015-09-16,5.65,5.7,5.6,5.7,5.7,1401800
2015-09-17,5.75,5.8,5.7,5.7,5.7,1079900
2015-09-18,5.75,5.8,5.65,5.65,5.65,1272300
2015-09-21,5.65,5.75,5.65,5.65,5.65,1357100
2015-09-22,5.7,5.75,5.6,5.7,5.7,2040400
2015-09-23,5.6,5.7,5.6,5.7,5.7,1026100
2015-09-24,5.65,5.7,5.6,5.65,5.65,1734800
2015-09-25,5.6,5.65,5.55,5.6,5.6,728300
2015-09-28,5.6,5.6,5.5,5.5,5.5,1818700
2015-09-29,5.45,5.45,5.3,5.35,5.35,4340400
2015-09-30,5.4,5.4,5.3,5.3,5.3,1784400
2015-10-01,5.35,5.35,5.15,5.2,5.2,2327500
2015-10-02,5.25,5.25,5.1,5.15,5.15,2348000
2015-10-05,5.2,5.25,5.15,5.2,5.2,1228800
2015-10-06,5.25,5.3,5.15,5.15,5.15,2041300
2015-10-07,5.2,5.4,5.15,5.25,5.25,2904800
2015-10-08,5.3,5.3,5.15,5.15,5.15,2086900
2015-10-09,5.25,5.45,5.2,5.35,5.35,5571500
2015-10-12,5.45,5.65,5.45,5.5,5.5,7285300
2015-10-13,5.5,5.5,5.4,5.4,5.4,2184600
2015-10-14,5.4,5.7,5.4,5.55,5.55,3801300
2015-10-15,5.65,5.7,5.6,5.6,5.6,2955200
2015-10-16,5.65,5.65,5.45,5.45,5.45,3154000
2015-10-19,5.5,5.55,5.4,5.45,5.45,1803500
2015-10-20,5.45,5.55,5.4,5.45,5.45,1910100
2015-10-21,5.45,5.5,5.45,5.5,5.5,1160500
2015-10-22,5.5,5.7,5.45,5.55,5.55,8876100
2015-10-26,5.6,5.65,5.45,5.5,5.5,2601300
2015-10-27,5.5,5.65,5.45,5.6,5.6,3703400
2015-10-28,5.6,5.65,5.45,5.45,5.45,5469000
2015-10-29,5.5,5.55,5.3,5.3,5.3,3347900
2015-10-30,5.3,5.4,5.3,5.4,5.4,738500
2015-11-02,5.4,5.45,5.35,5.4,5.4,830700
2015-11-03,5.45,5.5,5.35,5.35,5.35,1041000
2015-11-04,5.4,5.45,5.35,5.4,5.4,519100
2015-11-05,5.4,5.6,5.35,5.4,5.4,9024500
2015-11-06,5.45,5.5,5.35,5.35,5.35,1321700
2015-11-09,5.35,5.5,5.35,5.35,5.35,4540500
2015-11-10,5.5,5.55,5.35,5.4,5.4,6977900
2015-11-11,5.35,5.45,5.3,5.4,5.4,2180700
2015-11-12,5.4,5.4,5.2,5.2,5.2,2745200
2015-11-13,5.25,5.25,5.1,5.15,5.15,1498100
2015-11-16,5.1,5.15,5.05,5.05,5.05,1977500
2015-11-17,5.1,5.15,5,5,5,2892200
2015-11-18,5.05,5.15,5,5.05,5.05,2166100
2015-11-19,5.05,5.15,5,5,5,1171900
2015-11-20,5,5.05,5,5,5,957100
2015-11-23,5,5.15,5,5,5,3855000
2015-11-24,5.05,5.1,4.8,4.8,4.8,8532500
2015-11-25,4.8,4.86,4.5,4.54,4.54,8585600
2015-11-26,4.66,4.78,4.56,4.64,4.64,8954200
2015-11-27,4.64,4.64,4.5,4.5,4.5,3906200
2015-11-30,4.5,4.5,4.36,4.44,4.44,3427000
2015-12-01,4.46,4.54,4.4,4.44,4.44,4039300
2015-12-02,4.42,4.5,4.26,4.26,4.26,6228900
2015-12-03,4.26,4.28,4.06,4.14,4.14,5042800
2015-12-04,4.14,4.26,4.14,4.14,4.14,4005600
2015-12-08,4.14,4.14,3.9,3.9,3.9,8579500
2015-12-09,3.92,4,3.74,3.8,3.8,6728800
2015-12-11,3.86,4.06,3.82,4.04,4.04,11093100
2015-12-14,4.02,4.2,3.94,4.2,4.2,19156600
2015-12-15,4.14,4.2,4.12,4.12,4.12,13316100
2015-12-16,4.14,4.14,3.96,3.96,3.96,9849400
2015-12-17,4,4.08,4,4.04,4.04,3980500
2015-12-18,4.06,4.06,3.96,3.98,3.98,2461500
2015-12-21,3.92,3.94,3.74,3.74,3.74,5782000
2015-12-22,3.8,3.8,3.6,3.6,3.6,4725100
2015-12-23,3.66,3.74,3.64,3.66,3.66,3996200
2015-12-24,3.7,3.72,3.68,3.68,3.68,1719300
2015-12-25,3.7,3.86,3.7,3.84,3.84,5303500
2015-12-28,3.84,3.9,3.74,3.76,3.76,6905800
2015-12-29,3.78,3.8,3.76,3.78,3.78,860400
2015-12-30,3.8,3.84,3.78,3.8,3.8,1142100
2016-01-04,3.78,3.78,3.7,3.72,3.72,1835300
2016-01-05,3.72,3.74,3.7,3.7,3.7,1189400
2016-01-06,3.7,3.76,3.7,3.76,3.76,978800
2016-01-07,3.72,3.78,3.68,3.68,3.68,3046700
2016-01-08,3.68,3.74,3.68,3.7,3.7,1815100
2016-01-11,3.7,3.7,3.66,3.68,3.68,1229900
2016-01-12,3.68,3.74,3.68,3.74,3.74,2292700
2016-01-13,3.76,3.88,3.74,3.86,3.86,7242800
2016-01-14,3.82,3.84,3.76,3.8,3.8,1745400
2016-01-15,3.82,3.88,3.78,3.82,3.82,2435200
2016-01-18,3.82,3.82,3.76,3.78,3.78,813100
2016-01-19,3.78,3.88,3.78,3.82,3.82,2749900
2016-01-20,3.84,3.86,3.8,3.8,3.8,2903600
2016-01-21,3.86,4.12,3.86,4.06,4.06,32072200
2016-01-22,4.08,4.16,4,4.02,4.02,16420200
2016-01-25,4.04,4.08,3.96,3.96,3.96,4290500
2016-01-26,3.98,3.98,3.88,3.94,3.94,3891900
2016-01-27,3.96,4.06,3.92,4.06,4.06,4456000
2016-01-28,4.08,4.12,4,4.04,4.04,11939400
2016-01-29,4.04,4.06,3.96,3.98,3.98,3052800
2016-02-01,3.98,3.98,3.92,3.92,3.92,1896400
2016-02-02,3.92,3.94,3.82,3.82,3.82,3169300
2016-02-03,3.78,3.82,3.78,3.82,3.82,1830500
2016-02-04,3.82,3.86,3.82,3.82,3.82,1069200
2016-02-05,3.82,3.86,3.82,3.84,3.84,672900
2016-02-08,3.84,3.84,3.8,3.82,3.82,1140500
2016-02-09,3.84,4.12,3.84,4,4,27835800
2016-02-10,3.98,4,3.94,3.94,3.94,3936300
2016-02-11,3.96,3.98,3.8,3.82,3.82,5427100
2016-02-12,3.82,3.84,3.8,3.8,3.8,1495300
2016-02-15,3.82,3.88,3.82,3.82,3.82,728500
2016-02-16,3.86,3.88,3.8,3.82,3.82,987000
2016-02-17,3.82,3.84,3.74,3.76,3.76,1797000
2016-02-18,3.78,3.88,3.78,3.8,3.8,4238000
2016-02-19,3.8,3.84,3.78,3.84,3.84,1847000
2016-02-23,3.84,3.88,3.8,3.8,3.8,1727900
2016-02-24,3.8,3.86,3.78,3.82,3.82,2357400
2016-02-25,3.82,3.82,3.76,3.8,3.8,1825300
2016-02-26,3.8,3.84,3.78,3.78,3.78,1338100
2016-02-29,3.82,3.84,3.78,3.78,3.78,1953200
2016-03-01,3.84,3.86,3.82,3.82,3.82,2231700
2016-03-02,3.88,4.04,3.86,3.92,3.92,9405200
2016-03-03,3.98,4.02,3.9,3.94,3.94,4639600
2016-03-04,3.98,4,3.92,3.96,3.96,3225800
2016-03-07,4,4.02,3.92,3.92,3.92,5807600
2016-03-08,3.94,3.98,3.9,3.92,3.92,3635500
2016-03-09,3.92,3.96,3.9,3.96,3.96,1798700
2016-03-10,3.96,4.44,3.96,4.32,4.32,85079500
2016-03-11,4.26,4.38,4.22,4.28,4.28,30703800
2016-03-14,4.28,4.44,4.22,4.32,4.32,35682400
2016-03-15,4.38,4.46,4.24,4.26,4.26,28051800
2016-03-16,4.28,4.32,4.14,4.16,4.16,17375100
2016-03-17,4.2,4.24,4.16,4.16,4.16,6222400
2016-03-18,4.18,4.22,4.14,4.18,4.18,4969800
