Date,Open,High,Low,Close,Adj Close,Volume
2014-07-23,1.26,1.26,1.24,1.24,1.24,400000
2014-07-24,1.2,1.2,1.19,1.19,1.19,300000
2014-07-28,1.23,1.23,1.23,1.23,1.23,700000
2014-08-01,1.27,1.27,1.26,1.26,1.26,30000
2014-08-04,1.26,1.27,1.26,1.27,1.27,44000
2014-08-13,1.14,1.14,1.14,1.14,1.14,10000
2014-08-14,1.08,1.08,1.08,1.08,1.08,2000
2014-08-22,1.05,1.05,1.05,1.05,1.05,500
2014-08-27,1.08,1.08,1.08,1.08,1.08,100
2014-08-28,0.98,0.98,0.98,0.98,0.98,2600
2014-09-02,0.87,0.88,0.83,0.84,0.84,6043300
2014-09-03,0.84,0.84,0.84,0.84,0.84,200000
2014-09-04,0.83,0.85,0.83,0.85,0.85,43300
2014-09-05,0.82,0.83,0.82,0.83,0.83,300000
2014-09-23,0.75,0.75,0.75,0.75,0.75,200000
2014-09-29,0.8,0.82,0.8,0.82,0.82,1440000
2014-10-03,0.95,0.96,0.94,0.95,0.95,1447600
2014-10-21,0.91,0.91,0.91,0.91,0.91,500
2014-10-24,0.88,0.88,0.88,0.88,0.88,500
2014-12-08,0.84,0.91,0.84,0.91,0.91,113100
2014-12-09,1.01,1.01,1.01,1.01,1.01,1000
2014-12-11,1.06,1.23,1.06,1.23,1.23,6200
2014-12-12,1.18,1.18,1.15,1.18,1.18,51900
2014-12-15,1.21,1.26,1.2,1.26,1.26,35500
2015-01-22,1.08,1.08,1.08,1.08,1.08,344400
2015-02-02,1.04,1.04,1.04,1.04,1.04,107600
2015-02-04,1.03,1.03,1.03,1.03,1.03,200
2015-02-05,1.14,1.14,1.14,1.14,1.14,200
2015-03-20,1.45,1.46,1.43,1.43,1.43,2095400
