Date,Open,High,Low,Close,Adj Close,Volume
2015-05-26,0.34,0.34,0.34,0.34,0.34,2000
2015-06-05,0.33,0.33,0.33,0.33,0.33,354900
2015-06-08,0.34,0.38,0.34,0.38,0.38,64956900
2015-06-09,0.39,0.39,0.36,0.36,0.36,1370000
2015-06-10,0.37,0.37,0.37,0.37,0.37,110000
2015-06-12,0.4,0.41,0.4,0.41,0.41,800000
2015-06-15,0.41,0.41,0.41,0.41,0.41,4450000
2015-06-16,0.41,0.43,0.4,0.4,0.4,838200
2015-06-17,0.41,0.41,0.4,0.41,0.41,1187000
2015-06-18,0.42,0.42,0.42,0.42,0.42,150000
2015-06-19,0.42,0.43,0.39,0.39,0.39,900000
2015-06-22,0.37,0.37,0.36,0.37,0.37,900000
2015-06-23,0.37,0.37,0.35,0.35,0.35,1843800
2015-06-24,0.36,0.37,0.36,0.36,0.36,3400000
2015-06-25,0.38,0.39,0.38,0.39,0.39,410800
2015-06-26,0.38,0.38,0.38,0.38,0.38,10000
2015-06-29,0.33,0.34,0.33,0.34,0.34,2521000
2015-06-30,0.33,0.33,0.32,0.33,0.33,625000
2015-07-02,0.32,0.32,0.32,0.32,0.32,20000
2015-07-03,0.31,0.31,0.3,0.31,0.31,3600000
2015-07-07,0.29,0.29,0.29,0.29,0.29,1600000
2015-07-08,0.28,0.28,0.27,0.27,0.27,599000
2015-07-09,0.29,0.29,0.28,0.29,0.29,2100000
2015-07-10,0.33,0.34,0.33,0.34,0.34,60500100
2015-07-13,0.35,0.37,0.34,0.37,0.37,70000
2015-07-14,0.38,0.38,0.38,0.38,0.38,350000
2015-07-15,0.36,0.36,0.35,0.35,0.35,450000
2015-07-16,0.37,0.38,0.36,0.37,0.37,1175000
2015-07-17,0.4,0.4,0.36,0.37,0.37,1256400
2015-07-20,0.38,0.38,0.36,0.36,0.36,11071100
2015-07-21,0.36,0.36,0.3,0.31,0.31,3068600
2015-07-22,0.3,0.32,0.29,0.31,0.31,1368000
2015-07-23,0.33,0.33,0.3,0.3,0.3,1321000
2015-07-24,0.31,0.31,0.3,0.31,0.31,1726000
2015-07-27,0.29,0.29,0.24,0.24,0.24,5997100
2015-07-28,0.23,0.24,0.22,0.23,0.23,9631800
2015-07-29,0.23,0.25,0.23,0.24,0.24,5555600
2015-07-31,0.25,0.26,0.25,0.25,0.25,594000
2015-08-03,0.26,0.26,0.25,0.25,0.25,686400
2015-08-04,0.26,0.26,0.25,0.25,0.25,1181600
2015-08-06,0.27,0.28,0.25,0.25,0.25,3668400
2015-08-07,0.24,0.25,0.24,0.25,0.25,946800
2015-08-10,0.24,0.24,0.22,0.22,0.22,1189700
2015-08-11,0.23,0.23,0.23,0.23,0.23,1025000
2015-08-13,0.19,0.19,0.16,0.16,0.16,5312800
2015-08-14,0.16,0.16,0.15,0.15,0.15,2000000
2015-08-17,0.17,0.17,0.15,0.15,0.15,1502800
2015-08-18,0.13,0.13,0.11,0.11,0.11,1352000
2015-08-19,0.11,0.13,0.11,0.13,0.13,2463800
2015-08-20,0.12,0.12,0.12,0.12,0.12,101400
2015-08-21,0.1,0.1,0.09,0.09,0.09,4000000
2015-08-28,0.06,0.06,0.06,0.06,0.06,2000000
2015-09-02,0.04,0.04,0.04,0.04,0.04,1000000
2015-09-03,0.07,0.07,0.05,0.05,0.05,1267000
2015-09-04,0.05,0.05,0.05,0.05,0.05,1185000
2015-09-08,0.04,0.04,0.04,0.04,0.04,2042000
2015-09-09,0.05,0.06,0.05,0.06,0.06,409500
2015-09-10,0.05,0.05,0.05,0.05,0.05,20000
2015-09-11,0.06,0.06,0.06,0.06,0.06,29500
2015-09-15,0.05,0.05,0.05,0.05,0.05,1000000
2015-09-21,0.07,0.07,0.07,0.07,0.07,522000
2015-09-24,0.04,0.04,0.04,0.04,0.04,1200000
2015-09-28,0.04,0.04,0.04,0.04,0.04,200000
2015-09-30,0.04,0.04,0.04,0.04,0.04,23000
2015-10-06,0.04,0.04,0.04,0.04,0.04,23000
2015-10-13,0.02,0.02,0.02,0.02,0.02,68000
