Date,Open,High,Low,Close,Adj Close,Volume
2011-12-30,19.2,19.2,19.2,19.2,19.2,5
2012-01-19,19.86,19.86,19.86,19.86,19.86,1
2012-01-26,20.1,20.1,20.1,20.1,20.1,1
2012-01-30,20.45,20.45,20.45,20.45,20.45,1
2012-02-06,20.78,20.78,20.78,20.78,20.78,1
2012-04-05,19.75,19.75,19.75,19.75,19.75,2
2012-04-10,19.4,19.4,19.4,19.4,19.4,1
2012-04-11,19,19,19,19,19,2
2012-04-18,19.1,19.1,19.1,19.1,19.1,1
2012-07-03,17,17,17,17,17,2
2012-08-17,16.6,16.6,15.5,15.5,15.5,2
2012-09-12,17.2,17.2,17.2,17.2,17.2,4
2012-09-13,16.99,16.99,16.6,16.6,16.6,4
2012-09-19,17.45,17.5,17.2,17.5,17.5,52
2012-09-20,17.44,17.44,17.44,17.44,17.44,2
2012-09-24,17,17,17,17,17,3
2012-09-25,17,17,17,17,17,1
2012-09-26,16.41,16.41,16.22,16.22,16.22,2
2012-09-28,17,17,16.41,16.54,16.54,67
2012-10-02,16.54,16.8,16.54,16.8,16.8,5
2012-10-03,16.69,17.2,16.69,17.2,17.2,219
2012-10-04,17.4,17.8,17.4,17.8,17.8,390
2012-10-05,17.9,18.1,17.8,17.99,17.99,225
2012-10-08,17.75,17.75,17.71,17.71,17.71,208
2012-10-09,18,18,17.4,17.41,17.41,62
2012-10-10,17.5,17.5,17.41,17.41,17.41,6
2012-10-11,17.45,17.51,17.45,17.51,17.51,11
2012-10-12,17.6,17.6,17.6,17.6,17.6,102
2012-10-15,17.7,17.7,17.4,17.4,17.4,24
2012-10-16,17.42,17.45,17.41,17.41,17.41,11
2012-10-17,17.55,18.5,17.55,18.35,18.35,351
2012-10-18,18.6,20,18.6,19.2,19.2,217
2012-10-19,19.15,19.3,18.9,18.99,18.99,114
2012-10-22,19.25,19.25,18.81,18.89,18.89,123
2012-10-24,19.3,19.39,18.86,19.25,19.25,239
2012-10-25,19.1,19.15,19.1,19.15,19.15,5
2012-10-26,19,19,18.28,18.41,18.41,277
2012-10-29,18.15,18.15,18.09,18.1,18.1,17
2012-10-30,18.2,18.5,18.2,18.45,18.45,119
2012-10-31,17.12,17.12,15.95,15.95,15.95,298
2012-11-01,16.1,16.1,15.95,16.09,16.09,63
2012-11-02,16.1,16.1,15.71,15.71,15.71,48
2012-11-05,15.85,15.99,15.83,15.9,15.9,114
2012-11-06,15.9,16,15.9,15.95,15.95,22
2012-11-08,15.76,15.9,15.76,15.9,15.9,12
2012-11-09,15.9,15.9,15.6,15.79,15.79,131
2012-11-12,16,16,15.75,15.75,15.75,14
2012-11-13,15.65,15.74,15.65,15.74,15.74,41
2012-11-15,15.3,15.3,15.1,15.2,15.2,66
2012-11-16,15.3,15.3,14.9,15.2,15.2,34
2012-11-20,15.1,15.25,15.1,15.25,15.25,14
2012-11-21,15,15,15,15,15,7
2012-11-22,14.99,14.99,14.99,14.99,14.99,7
2012-11-23,15.3,15.6,15.3,15.4,15.4,33
2012-11-26,15.45,15.45,15.45,15.45,15.45,2
2012-11-27,15.5,15.55,15.5,15.55,15.55,6
2012-11-28,15.6,15.65,15.6,15.6,15.6,13
2012-11-29,15.45,15.45,15.45,15.45,15.45,6
2012-11-30,15.87,15.9,15.87,15.9,15.9,13
2012-12-03,15.8,15.8,15.65,15.75,15.75,24
2012-12-04,15.72,15.95,15.72,15.95,15.95,14
2012-12-06,15.8,15.8,15.77,15.77,15.77,8
2012-12-07,15.8,15.8,15.8,15.8,15.8,4
2012-12-12,15.7,15.7,15.7,15.7,15.7,3
2012-12-13,15.7,16.05,15.5,16,16,64
2012-12-14,16.14,17.25,16.14,17,17,132
2012-12-17,17,17,16.45,16.6,16.6,56
2012-12-18,16.5,16.5,16.2,16.3,16.3,30
2012-12-19,16.11,16.11,15.91,15.91,15.91,3
2012-12-20,16.05,16.1,16.05,16.1,16.1,15
2012-12-21,16,16,16,16,16,1
2012-12-25,16.25,16.5,16.25,16.4,16.4,30
2012-12-26,16.6,16.9,16.6,16.8,16.8,212
2012-12-27,16.8,16.8,16.8,16.8,16.8,10
