Date,Open,High,Low,Close,Adj Close,Volume
2016-01-26,0.53,0.53,0.5,0.5,0.5,200
2016-01-27,0.51,0.53,0.51,0.51,0.51,263800
2016-01-28,0.49,0.49,0.45,0.46,0.46,399200
2016-01-29,0.47,0.47,0.43,0.44,0.44,451000
2016-02-01,0.45,0.45,0.42,0.45,0.45,101800
2016-02-02,0.45,0.45,0.45,0.45,0.45,348400
2016-02-03,0.43,0.45,0.43,0.45,0.45,200000
2016-02-04,0.46,0.46,0.45,0.46,0.46,324800
2016-02-05,0.46,0.53,0.46,0.53,0.53,1535600
2016-02-08,0.53,0.58,0.53,0.57,0.57,1666500
2016-02-09,0.53,0.57,0.53,0.55,0.55,997200
2016-02-10,0.55,0.55,0.51,0.51,0.51,1318600
2016-02-11,0.52,0.54,0.47,0.47,0.47,540200
2016-02-12,0.44,0.45,0.44,0.44,0.44,505700
2016-02-15,0.44,0.44,0.44,0.44,0.44,144200
2016-02-16,0.44,0.47,0.43,0.43,0.43,1684600
2016-02-17,0.45,0.48,0.43,0.47,0.47,1278100
2016-02-18,0.49,0.51,0.46,0.46,0.46,3307500
2016-02-19,0.48,0.5,0.48,0.5,0.5,2230600
2016-02-23,0.51,0.52,0.49,0.5,0.5,300200
2016-02-24,0.5,0.59,0.5,0.58,0.58,2709200
2016-02-25,0.59,0.68,0.59,0.68,0.68,12222300
2016-02-26,0.68,0.71,0.61,0.62,0.62,6334700
2016-02-29,0.62,0.67,0.58,0.58,0.58,4749500
2016-03-01,0.58,0.64,0.58,0.64,0.64,1747700
2016-03-02,0.64,0.75,0.64,0.73,0.73,9405500
2016-03-03,0.72,0.72,0.64,0.68,0.68,9036700
2016-03-04,0.66,0.69,0.64,0.66,0.66,2533100
2016-03-07,0.66,0.66,0.61,0.61,0.61,9491300
2016-03-08,0.59,0.6,0.51,0.51,0.51,2441900
2016-03-09,0.52,0.55,0.5,0.54,0.54,2104000
2016-03-10,0.56,0.57,0.53,0.53,0.53,1294500
2016-03-11,0.54,0.55,0.46,0.48,0.48,2080500
2016-03-14,0.49,0.49,0.43,0.43,0.43,872100
2016-03-15,0.43,0.44,0.43,0.44,0.44,438200
2016-03-16,0.46,0.46,0.43,0.44,0.44,301000
2016-03-17,0.45,0.48,0.44,0.48,0.48,1638500
2016-03-18,0.49,0.52,0.41,0.41,0.41,4417400
2016-03-21,0.38,0.41,0.37,0.4,0.4,3216100
2016-03-22,0.42,0.43,0.4,0.4,0.4,374400
2016-03-23,0.41,0.41,0.4,0.4,0.4,507800
2016-03-24,0.4,0.47,0.4,0.46,0.46,7848800
2016-03-25,0.44,0.44,0.4,0.4,0.4,4061700
2016-03-28,0.4,0.41,0.39,0.39,0.39,956700
2016-03-29,0.39,0.4,0.38,0.39,0.39,830000
2016-03-30,0.4,0.42,0.4,0.4,0.4,1935400
2016-03-31,0.4,0.4,0.38,0.38,0.38,1171300
2016-04-01,0.38,0.38,0.37,0.38,0.38,940900
2016-04-04,0.39,0.44,0.39,0.44,0.44,924000
2016-04-05,0.43,0.43,0.4,0.42,0.42,1384500
2016-04-07,0.41,0.42,0.38,0.38,0.38,304400
2016-04-08,0.37,0.38,0.33,0.37,0.37,2454500
2016-04-11,0.37,0.37,0.36,0.36,0.36,109800
2016-04-12,0.36,0.37,0.35,0.36,0.36,196400
2016-04-18,0.37,0.38,0.37,0.38,0.38,31600
2016-04-19,0.38,0.42,0.38,0.41,0.41,1778100
2016-04-20,0.41,0.41,0.4,0.4,0.4,1039700
2016-04-21,0.39,0.39,0.38,0.38,0.38,203000
2016-04-22,0.38,0.38,0.38,0.38,0.38,5000
2016-04-25,0.37,0.37,0.36,0.36,0.36,4000
2016-04-26,0.36,0.37,0.35,0.36,0.36,560600
2016-04-27,0.35,0.36,0.34,0.35,0.35,255000
2016-04-28,0.35,0.35,0.31,0.31,0.31,1259800
2016-04-29,0.31,0.32,0.3,0.3,0.3,701500
2016-05-03,0.31,0.31,0.3,0.31,0.31,132000
2016-05-04,0.3,0.3,0.27,0.27,0.27,1182900
2016-05-09,0.27,0.27,0.26,0.27,0.27,275300
2016-05-10,0.26,0.26,0.26,0.26,0.26,104200
2016-05-11,0.27,0.27,0.25,0.26,0.26,155700
2016-05-12,0.26,0.26,0.25,0.26,0.26,363500
2016-05-16,0.25,0.28,0.22,0.22,0.22,1331200
2016-05-17,0.25,0.29,0.25,0.29,0.29,1503700
2016-05-18,0.29,0.35,0.29,0.35,0.35,2259000
2016-05-19,0.35,0.36,0.33,0.36,0.36,2004200
2016-05-23,0.35,0.35,0.32,0.32,0.32,1190600
2016-05-24,0.35,0.4,0.34,0.39,0.39,3947000
2016-05-25,0.4,0.4,0.38,0.4,0.4,617600
2016-05-26,0.39,0.39,0.34,0.36,0.36,3061900
2016-05-27,0.34,0.37,0.34,0.37,0.37,2039700
2016-05-30,0.35,0.42,0.35,0.42,0.42,9309100
2016-05-31,0.43,0.52,0.43,0.48,0.48,10127700
2016-06-01,0.48,0.51,0.44,0.45,0.45,4690500
2016-06-02,0.44,0.61,0.44,0.59,0.59,16017200
2016-06-03,0.6,0.63,0.55,0.6,0.6,6868400
2016-06-06,0.62,0.72,0.62,0.66,0.66,6091300
2016-06-07,0.69,0.71,0.61,0.64,0.64,6157400
2016-06-08,0.64,0.76,0.61,0.75,0.75,10974600
2016-06-09,0.74,0.82,0.69,0.69,0.69,19014100
2016-06-10,0.7,0.7,0.6,0.6,0.6,12335500
2016-06-13,0.55,0.57,0.54,0.54,0.54,3581600
2016-06-14,0.57,0.6,0.53,0.56,0.56,6722200
2016-06-15,0.6,0.79,0.59,0.79,0.79,21043300
2016-06-16,0.79,0.95,0.75,0.84,0.84,40556400
2016-06-17,0.9,1.02,0.9,0.94,0.94,16667300
2016-06-20,0.96,0.97,0.86,0.87,0.87,11186000
2016-06-21,0.92,0.93,0.87,0.88,0.88,4421800
2016-06-22,0.9,1.1,0.9,1.03,1.03,14905500
2016-06-23,1.04,1.2,0.98,0.98,0.98,10942500
2016-06-24,0.86,1.03,0.83,0.97,0.97,5643900
2016-06-27,1.01,1.09,0.94,0.95,0.95,9951800
2016-06-28,0.98,0.99,0.92,0.93,0.93,6168100
2016-06-29,0.95,0.99,0.88,0.88,0.88,4434200
2016-06-30,0.91,0.91,0.8,0.81,0.81,3831300
2016-07-04,0.84,0.89,0.81,0.83,0.83,903900
2016-07-05,0.84,1.02,0.81,0.98,0.98,10548600
2016-07-06,1.02,1.04,0.94,0.96,0.96,4340400
2016-07-07,0.97,1.1,0.94,1.02,1.02,12755900
2016-07-08,1.03,1.05,0.95,0.95,0.95,5973800
2016-07-11,0.99,0.99,0.84,0.87,0.87,2981700
2016-07-12,0.86,1,0.86,0.98,0.98,4983400
2016-07-13,1.02,1.02,0.93,0.94,0.94,2780700
2016-07-14,0.96,0.96,0.88,0.89,0.89,2686700
2016-07-15,0.92,0.92,0.8,0.81,0.81,6180000
2016-07-20,0.81,0.86,0.78,0.83,0.83,1771500
2016-07-21,0.86,0.86,0.77,0.77,0.77,2270700
2016-07-22,0.76,0.77,0.6,0.62,0.62,11153600
2016-07-25,0.62,0.66,0.61,0.64,0.64,3138000
2016-07-26,0.64,0.76,0.63,0.72,0.72,4787900
2016-07-27,0.76,0.76,0.69,0.69,0.69,1866300
2016-07-28,0.7,0.71,0.67,0.67,0.67,1409200
2016-07-29,0.67,0.68,0.53,0.55,0.55,2358300
2016-08-01,0.57,0.6,0.44,0.44,0.44,4575500
2016-08-02,0.4,0.49,0.4,0.43,0.43,4621900
2016-08-03,0.45,0.45,0.41,0.44,0.44,2411500
2016-08-04,0.44,0.44,0.38,0.38,0.38,1030000
2016-08-05,0.38,0.56,0.38,0.52,0.52,7257000
2016-08-08,0.54,0.74,0.54,0.71,0.71,9064300
2016-08-09,0.72,0.75,0.64,0.65,0.65,3877000
2016-08-10,0.69,0.73,0.62,0.69,0.69,3067400
2016-08-11,0.7,0.7,0.6,0.65,0.65,1668100
2016-08-15,0.61,0.64,0.61,0.61,0.61,845500
2016-08-16,0.65,0.82,0.65,0.68,0.68,7455400
2016-08-17,0.76,0.93,0.75,0.9,0.9,11007600
2016-08-18,0.99,1.2,0.97,1.17,1.17,10735800
