Date,Open,High,Low,Close,Adj Close,Volume
2015-10-08,22.8,22.8,22.8,22.8,22.8,20
2015-10-22,23.77,23.77,23.7,23.7,23.7,60
2015-10-29,22.74,22.74,22.15,22.15,22.15,40
2016-02-10,16.75,16.75,16.75,16.75,16.75,10
2016-02-11,16.2,16.2,16.2,16.2,16.2,5
2016-02-18,16.22,16.22,16.22,16.22,16.22,300
2016-02-24,17.1,17.1,17.1,17.1,17.1,200
2016-02-25,18.09,18.09,18.09,18.09,18.09,300
2016-02-26,18.5,18.5,18.5,18.5,18.5,100
2016-02-29,17.9,17.9,17.9,17.9,17.9,100
2016-03-02,18.8,18.8,18.8,18.8,18.8,300
2016-03-03,18.4,18.4,18.4,18.4,18.4,200
2016-03-04,18,18,18,18,18,10
2016-03-07,17.7,17.7,17.7,17.7,17.7,1
2016-03-08,17.3,17.6,16.68,16.68,16.68,112
2016-03-09,17.2,17.2,17.2,17.2,17.2,123
2016-03-10,16.8,17,16.7,16.7,16.7,117
2016-03-11,16.7,16.7,16.7,16.7,16.7,301
2016-03-14,15.9,15.9,15.9,15.9,15.9,5
2016-03-16,16.27,16.27,16.27,16.27,16.27,200
2016-03-17,16.77,16.77,16.77,16.77,16.77,100
2016-03-18,16.8,16.8,16.8,16.8,16.8,493
2016-03-21,16,16,16,16,16,200
2016-03-22,16.57,16.57,16.57,16.57,16.57,100
2016-03-23,16.2,16.2,16.2,16.2,16.2,100
2016-03-24,16.9,16.9,16.9,16.9,16.9,600
2016-03-25,16.28,16.28,16.28,16.28,16.28,500
2016-03-28,16.12,16.12,16.12,16.12,16.12,2
2016-03-30,16.39,16.5,16.3,16.3,16.3,90
2016-03-31,16.37,16.49,16.2,16.2,16.2,42
2016-04-01,15.98,15.98,15.98,15.98,15.98,200
2016-04-04,16.39,16.7,16.39,16.7,16.7,208
2016-04-05,16.8,16.8,16.8,16.8,16.8,301
2016-04-07,16.65,16.67,16.65,16.67,16.67,415
2016-04-08,16,16.25,15.94,16.25,16.25,5
2016-04-11,16.3,16.3,16.3,16.3,16.3,1
2016-04-19,16.2,16.42,16.2,16.42,16.42,22
2016-04-20,16.7,16.7,16.5,16.5,16.5,3
2016-04-29,15.72,15.72,15.72,15.72,15.72,2
2016-05-13,15.4,15.4,15.4,15.4,15.4,1
2016-05-17,15.5,15.9,15.5,15.9,15.9,58
2016-05-18,16,16.5,15.9,16.5,16.5,786
2016-05-19,16.6,16.8,16.5,16.7,16.7,1226
2016-05-23,16.4,16.4,16.4,16.4,16.4,18
2016-05-24,16.5,16.9,16.5,16.85,16.85,53
2016-05-25,17.35,17.35,17.35,17.35,17.35,650
2016-05-26,16.89,16.89,16.89,16.89,16.89,570
2016-05-27,16.8,16.8,16.8,16.8,16.8,9
2016-05-30,16.9,18.1,16.9,18.1,18.1,10
2016-05-31,17.9,18.01,17.9,18.01,18.01,1283
2016-06-01,18.3,18.3,18.2,18.2,18.2,47
2016-06-02,18.2,19.3,18.2,19.3,19.3,20
2016-06-03,19.2,19.2,19.2,19.2,19.2,7
2016-06-06,19.4,20,19.4,20,20,4
2016-06-07,19.8,20.1,19.8,20,20,815
2016-06-08,19.7,20.69,19.7,20.69,20.69,668
2016-06-09,20.9,21.1,20.4,20.4,20.4,17
2016-06-10,19.95,19.95,19.4,19.4,19.4,261
2016-06-13,19.8,19.8,19.35,19.39,19.39,58
2016-06-14,19.79,19.79,19.3,19.3,19.3,23
2016-06-15,19.4,21.49,19.4,21.49,21.49,141
2016-06-16,21.4,22,21.2,21.8,21.8,118
2016-06-17,22.4,22.8,22.3,22.4,22.4,64
2016-06-20,22.35,22.35,21.85,22.03,22.03,7
2016-06-21,22.13,22.13,21.8,21.8,21.8,3
2016-06-22,22.68,23.2,22.68,23,23,41
2016-06-23,23.8,23.83,23,23.03,23.03,35
2016-06-24,22.33,22.33,22.33,22.33,22.33,1
2016-06-27,23.2,23.2,23,23,23,16
2016-06-28,22.8,22.8,22.67,22.77,22.77,29
2016-06-29,22.65,22.65,22.5,22.5,22.5,14
