Date,Open,High,Low,Close,Adj Close,Volume
2018-07-20,0.38,0.38,0.35,0.35,0.35,1357400
2018-07-23,0.35,0.35,0.32,0.33,0.33,5276700
2018-07-24,0.33,0.34,0.32,0.32,0.32,4132500
2018-07-25,0.33,0.33,0.3,0.3,0.3,1592000
2018-07-26,0.3,0.33,0.3,0.3,0.3,2842000
2018-07-31,0.32,0.32,0.28,0.28,0.28,5393700
2018-08-01,0.31,0.31,0.26,0.27,0.27,2753200
2018-08-02,0.27,0.3,0.26,0.26,0.26,4338800
2018-08-03,0.25,0.25,0.23,0.23,0.23,2523900
2018-08-06,0.22,0.26,0.22,0.23,0.23,8567900
2018-08-07,0.24,0.24,0.19,0.2,0.2,6789000
2018-08-08,0.21,0.22,0.19,0.19,0.19,7114300
2018-08-09,0.21,0.21,0.19,0.19,0.19,2068000
2018-08-10,0.19,0.2,0.19,0.19,0.19,1356600
2018-08-14,0.2,0.21,0.2,0.2,0.2,5016800
2018-08-15,0.2,0.21,0.2,0.2,0.2,2714800
2018-08-16,0.2,0.21,0.19,0.19,0.19,2329000
2018-08-17,0.2,0.2,0.17,0.19,0.19,6815200
2018-08-20,0.18,0.18,0.16,0.17,0.17,2003500
2018-08-21,0.18,0.2,0.18,0.2,0.2,5203100
2018-08-22,0.2,0.21,0.19,0.19,0.19,2187800
2018-08-23,0.18,0.18,0.17,0.18,0.18,906200
2018-08-24,0.18,0.19,0.18,0.18,0.18,392800
2018-08-27,0.19,0.2,0.18,0.18,0.18,875200
2018-08-28,0.18,0.19,0.18,0.18,0.18,2021300
2018-08-29,0.19,0.2,0.19,0.2,0.2,1885300
2018-08-30,0.19,0.2,0.19,0.19,0.19,1007200
2018-08-31,0.2,0.2,0.19,0.19,0.19,1917800
2018-09-03,0.19,0.19,0.18,0.19,0.19,780800
2018-09-04,0.19,0.2,0.18,0.19,0.19,1693000
2018-09-06,0.2,0.22,0.2,0.2,0.2,4376200
2018-09-07,0.21,0.21,0.2,0.21,0.21,847400
2018-09-10,0.21,0.22,0.21,0.22,0.22,3492700
2018-09-11,0.21,0.21,0.21,0.21,0.21,2346800
2018-09-12,0.22,0.24,0.22,0.23,0.23,1679500
2018-09-13,0.22,0.22,0.18,0.18,0.18,1348200
2018-09-14,0.19,0.19,0.18,0.18,0.18,1749400
2018-09-17,0.19,0.2,0.18,0.18,0.18,1763000
2018-09-18,0.18,0.18,0.17,0.17,0.17,1611400
2018-09-19,0.16,0.16,0.14,0.14,0.14,3481200
2018-09-20,0.14,0.15,0.13,0.15,0.15,2046200
2018-09-21,0.14,0.16,0.14,0.15,0.15,3158100
2018-09-24,0.15,0.15,0.15,0.15,0.15,46500
2018-09-25,0.15,0.15,0.15,0.15,0.15,612800
2018-09-26,0.15,0.17,0.15,0.16,0.16,3044600
2018-09-27,0.16,0.17,0.16,0.17,0.17,1781600
2018-09-28,0.15,0.15,0.14,0.14,0.14,934500
2018-10-01,0.14,0.15,0.14,0.15,0.15,5624100
2018-10-02,0.16,0.19,0.16,0.18,0.18,5264200
2018-10-03,0.18,0.2,0.18,0.2,0.2,3320600
2018-10-04,0.21,0.24,0.21,0.22,0.22,4104800
2018-10-05,0.22,0.24,0.21,0.21,0.21,1222500
2018-10-08,0.22,0.22,0.22,0.22,0.22,1015700
2018-10-09,0.22,0.25,0.21,0.24,0.24,8506800
2018-10-10,0.22,0.24,0.22,0.23,0.23,7109900
2018-10-11,0.26,0.26,0.24,0.24,0.24,3851500
2018-10-12,0.24,0.25,0.24,0.25,0.25,1292800
2018-10-16,0.25,0.25,0.23,0.24,0.24,62700
2018-10-18,0.23,0.25,0.23,0.25,0.25,4071500
2018-10-19,0.24,0.27,0.24,0.26,0.26,4468500
2018-10-22,0.25,0.26,0.25,0.25,0.25,1207500
2018-10-24,0.25,0.26,0.25,0.26,0.26,2018600
2018-10-25,0.28,0.28,0.22,0.22,0.22,2905400
2018-10-26,0.22,0.23,0.22,0.22,0.22,1392100
2018-10-29,0.21,0.21,0.21,0.21,0.21,1039800
2018-10-30,0.21,0.21,0.2,0.2,0.2,1929800
2018-10-31,0.19,0.19,0.19,0.19,0.19,57700
2018-11-01,0.19,0.19,0.17,0.17,0.17,925800
2018-11-02,0.16,0.18,0.16,0.16,0.16,3293400
2018-11-05,0.16,0.16,0.12,0.12,0.12,8968600
2018-11-06,0.12,0.12,0.11,0.11,0.11,3224900
2018-11-07,0.11,0.14,0.11,0.11,0.11,13293000
2018-11-08,0.11,0.11,0.09,0.1,0.1,6555700
2018-11-09,0.11,0.11,0.09,0.09,0.09,3131400
2018-11-12,0.09,0.1,0.09,0.1,0.1,1516400
2018-11-13,0.1,0.1,0.08,0.08,0.08,5646700
2018-11-14,0.09,0.11,0.09,0.09,0.09,1947000
2018-11-15,0.09,0.09,0.09,0.09,0.09,1667300
2018-11-16,0.09,0.09,0.09,0.09,0.09,1282600
2018-11-19,0.09,0.09,0.06,0.07,0.07,4041900
2018-11-20,0.07,0.07,0.06,0.07,0.07,5300900
2018-11-21,0.07,0.07,0.07,0.07,0.07,741100
2018-11-22,0.07,0.07,0.07,0.07,0.07,1248400
2018-11-23,0.08,0.08,0.07,0.07,0.07,5553700
2018-11-26,0.07,0.07,0.06,0.06,0.06,2085700
2018-11-27,0.06,0.07,0.06,0.06,0.06,1650000
2018-11-28,0.06,0.08,0.06,0.07,0.07,1777100
2018-11-29,0.07,0.08,0.07,0.08,0.08,1700000
2018-11-30,0.07,0.08,0.07,0.08,0.08,2332500
2018-12-03,0.07,0.09,0.07,0.08,0.08,1456300
2018-12-04,0.08,0.08,0.08,0.08,0.08,555000
2018-12-06,0.07,0.07,0.07,0.07,0.07,120000
2018-12-07,0.07,0.08,0.07,0.08,0.08,500000
2018-12-11,0.09,0.11,0.09,0.09,0.09,3059000
2018-12-12,0.08,0.08,0.08,0.08,0.08,65000
2018-12-13,0.07,0.07,0.07,0.07,0.07,60000
2018-12-14,0.08,0.1,0.08,0.1,0.1,2216700
2018-12-17,0.1,0.15,0.1,0.13,0.13,7616400
2018-12-18,0.14,0.14,0.1,0.12,0.12,4541100
