Date,Open,High,Low,Close,Adj Close,Volume
2014-01-09,0.7,0.7,0.7,0.7,0.7,100
2014-01-10,0.65,0.65,0.63,0.63,0.63,360000
2014-01-13,0.61,0.61,0.61,0.61,0.61,50000
2014-01-15,0.66,0.69,0.66,0.69,0.69,1250000
2014-01-16,0.66,0.69,0.66,0.67,0.67,2421600
2014-01-17,0.69,0.69,0.65,0.66,0.66,38000
2014-01-20,0.66,0.66,0.66,0.66,0.66,20000
2014-01-23,0.76,0.76,0.76,0.76,0.76,100
2014-01-30,0.74,0.75,0.74,0.75,0.75,100000
2014-02-03,0.83,0.84,0.79,0.79,0.79,120000
2014-02-04,0.77,0.77,0.74,0.74,0.74,120000
2014-02-05,0.75,0.75,0.72,0.72,0.72,620000
2014-02-06,0.74,0.75,0.74,0.75,0.75,530000
2014-02-10,0.68,0.69,0.68,0.69,0.69,400000
2014-02-17,0.67,0.68,0.67,0.67,0.67,270000
2014-02-18,0.66,0.66,0.64,0.64,0.64,520000
2014-02-19,0.64,0.66,0.64,0.66,0.66,222000
2014-02-20,0.66,0.67,0.66,0.67,0.67,40000
2014-02-21,0.7,0.7,0.7,0.7,0.7,10000
2014-02-24,0.68,0.68,0.67,0.68,0.68,108100
2014-02-25,0.68,0.69,0.68,0.68,0.68,118100
2014-03-03,0.66,0.66,0.66,0.66,0.66,31000
2014-03-04,0.66,0.66,0.6,0.61,0.61,431000
2014-03-05,0.64,0.64,0.63,0.63,0.63,31700
2014-03-06,0.58,0.58,0.58,0.58,0.58,31700
2014-03-07,0.61,0.62,0.58,0.58,0.58,180400
2014-03-10,0.56,0.56,0.56,0.56,0.56,180400
2014-03-11,0.67,0.67,0.67,0.67,0.67,10000
2014-03-12,0.68,0.68,0.68,0.68,0.68,10000
2014-03-14,0.68,0.68,0.66,0.66,0.66,200000
2014-03-17,0.64,0.64,0.64,0.64,0.64,1000
2014-03-18,0.66,0.66,0.65,0.65,0.65,11000
2014-03-19,0.61,0.62,0.61,0.62,0.62,200000
2014-03-26,0.64,0.64,0.63,0.63,0.63,35000
2014-03-27,0.67,0.69,0.64,0.65,0.65,1177400
2014-03-28,0.67,0.67,0.66,0.66,0.66,180000
2014-03-31,0.67,0.68,0.67,0.67,0.67,280000
2014-04-01,0.66,0.67,0.66,0.66,0.66,1495000
2014-04-02,0.65,0.65,0.63,0.64,0.64,1670000
2014-04-03,0.65,0.65,0.65,0.65,0.65,70000
2014-04-21,0.59,0.6,0.59,0.6,0.6,840000
2014-05-07,0.57,0.57,0.55,0.55,0.55,800000
2014-05-08,0.54,0.55,0.54,0.55,0.55,5300
2014-05-14,0.62,0.62,0.58,0.58,0.58,400000
2014-05-15,0.55,0.55,0.55,0.55,0.55,2000
2014-05-19,0.53,0.53,0.53,0.53,0.53,100000
2014-05-20,0.49,0.49,0.46,0.46,0.46,300000
2014-05-22,0.46,0.46,0.46,0.46,0.46,7400
2014-06-09,0.38,0.38,0.38,0.38,0.38,8000
2014-06-10,0.36,0.36,0.36,0.36,0.36,30000
2014-06-12,0.27,0.28,0.27,0.28,0.28,408000
2014-06-16,0.22,0.22,0.22,0.22,0.22,10000
2014-06-17,0.23,0.24,0.23,0.24,0.24,34000
2014-06-18,0.23,0.23,0.23,0.23,0.23,24000
2014-06-19,0.2,0.2,0.2,0.2,0.2,8000
