Date,Open,High,Low,Close,Adj Close,Volume
2014-01-14,64.75,64.75,64.75,64.75,64.75,20
2014-01-22,65.37,65.37,65.37,65.37,65.37,20
2014-02-03,70.5,70.5,70,70,70,20
2014-03-26,68.49,68.49,68.49,68.49,68.49,10
2014-04-11,69,69,69,69,69,10
2014-05-16,68.75,68.75,68.75,68.75,68.75,25
2014-07-02,66,66,66,66,66,2
2014-07-04,66.5,66.5,66.5,66.5,66.5,2
2014-07-07,66.61,66.61,66.61,66.61,66.61,100
2014-07-08,66.2,66.2,66.2,66.2,66.2,25
2014-07-09,66.64,66.64,66.64,66.64,66.64,100
2014-07-17,67.05,67.05,67.05,67.05,67.05,25
2014-07-23,64.75,64.75,64.75,64.75,64.75,50
2014-07-28,67.89,67.89,67.89,67.89,67.89,25
2014-08-04,66.67,66.67,66.67,66.67,66.67,50
2014-08-25,67.6,67.6,67.6,67.6,67.6,1
2014-08-28,70,70,69.5,69.5,69.5,20
2014-09-03,70.27,70.27,70.27,70.27,70.27,50
2014-09-08,70.97,70.97,70.97,70.97,70.97,50
2014-09-15,69.9,69.9,69.9,69.9,69.9,50
2014-09-16,70.64,70.64,70.64,70.64,70.64,50
2014-09-29,74,74,74,74,74,2
