Date,Open,High,Low,Close,Adj Close,Volume
2018-03-13,0.24,0.24,0.24,0.24,0.24,2957900
2018-03-14,0.24,0.31,0.24,0.29,0.29,16037400
2018-03-15,0.3,0.31,0.28,0.28,0.28,10269800
2018-03-16,0.28,0.28,0.25,0.26,0.26,5461400
2018-03-19,0.26,0.26,0.25,0.26,0.26,1420400
2018-03-20,0.26,0.28,0.25,0.26,0.26,8587600
2018-03-21,0.26,0.27,0.26,0.27,0.27,7500200
2018-03-22,0.27,0.3,0.27,0.29,0.29,13153300
2018-03-23,0.25,0.28,0.25,0.28,0.28,19296000
2018-03-26,0.28,0.29,0.28,0.29,0.29,8199900
2018-03-27,0.3,0.3,0.28,0.29,0.29,12565200
2018-03-28,0.28,0.28,0.26,0.26,0.26,1694300
2018-03-29,0.26,0.26,0.22,0.22,0.22,11819700
2018-04-03,0.24,0.24,0.23,0.23,0.23,5044700
2018-04-05,0.21,0.22,0.19,0.19,0.19,5380900
2018-04-09,0.2,0.2,0.19,0.19,0.19,659200
2018-04-10,0.19,0.2,0.19,0.2,0.2,6021400
2018-04-11,0.2,0.22,0.2,0.21,0.21,5056100
2018-04-12,0.21,0.22,0.21,0.22,0.22,6555300
2018-04-17,0.2,0.2,0.19,0.19,0.19,2652000
2018-04-18,0.2,0.21,0.2,0.2,0.2,3416400
2018-04-19,0.21,0.23,0.21,0.23,0.23,8978800
2018-04-20,0.22,0.22,0.21,0.22,0.22,8024700
2018-04-23,0.2,0.21,0.2,0.21,0.21,16070800
2018-04-24,0.21,0.21,0.2,0.2,0.2,1530500
2018-04-25,0.2,0.2,0.19,0.2,0.2,4529900
2018-04-26,0.2,0.2,0.19,0.19,0.19,3091300
2018-04-27,0.19,0.19,0.17,0.18,0.18,6909300
2018-04-30,0.18,0.2,0.18,0.2,0.2,4601600
2018-05-02,0.18,0.19,0.18,0.18,0.18,5072400
2018-05-03,0.19,0.22,0.19,0.22,0.22,5645000
2018-05-04,0.22,0.22,0.2,0.2,0.2,2560500
2018-05-07,0.19,0.19,0.19,0.19,0.19,675300
2018-05-08,0.18,0.18,0.17,0.18,0.18,120000
2018-05-09,0.17,0.17,0.16,0.16,0.16,1055200
2018-05-10,0.17,0.17,0.17,0.17,0.17,645000
2018-05-11,0.17,0.17,0.17,0.17,0.17,5204600
2018-05-14,0.18,0.2,0.18,0.2,0.2,6276800
2018-05-15,0.18,0.2,0.18,0.2,0.2,6755100
2018-05-16,0.19,0.27,0.19,0.27,0.27,42803800
2018-05-17,0.27,0.27,0.22,0.22,0.22,16778100
2018-05-18,0.22,0.23,0.21,0.22,0.22,13659800
2018-05-21,0.23,0.3,0.23,0.29,0.29,50954300
2018-05-22,0.29,0.33,0.27,0.33,0.33,29281900
2018-05-23,0.31,0.35,0.3,0.35,0.35,22234700
2018-05-24,0.35,0.35,0.32,0.32,0.32,7728100
2018-05-25,0.32,0.35,0.31,0.35,0.35,14816100
2018-05-28,0.33,0.37,0.33,0.37,0.37,16951500
2018-05-30,0.34,0.35,0.33,0.35,0.35,17112200
2018-05-31,0.35,0.36,0.34,0.34,0.34,19005800
2018-06-01,0.33,0.33,0.29,0.32,0.32,29856700
2018-06-04,0.3,0.31,0.26,0.27,0.27,17823700
2018-06-05,0.27,0.31,0.26,0.31,0.31,33605700
2018-06-06,0.3,0.34,0.3,0.31,0.31,31707100
2018-06-07,0.32,0.32,0.3,0.31,0.31,3079900
2018-06-08,0.31,0.31,0.3,0.3,0.3,6387500
2018-06-11,0.29,0.3,0.28,0.29,0.29,17227400
2018-06-12,0.3,0.36,0.3,0.32,0.32,30294400
2018-06-13,0.32,0.32,0.29,0.31,0.31,15475900
2018-06-14,0.31,0.31,0.27,0.28,0.28,15096400
2018-06-15,0.28,0.28,0.25,0.25,0.25,14354500
2018-06-18,0.23,0.23,0.2,0.2,0.2,14487000
2018-06-19,0.18,0.18,0.15,0.15,0.15,22551700
2018-06-20,0.14,0.16,0.14,0.16,0.16,11620300
2018-06-21,0.16,0.16,0.12,0.12,0.12,15121100
2018-06-22,0.11,0.12,0.1,0.1,0.1,10670200
2018-06-25,0.11,0.13,0.1,0.11,0.11,7130600
2018-06-26,0.1,0.12,0.1,0.11,0.11,7684700
2018-06-27,0.12,0.12,0.08,0.08,0.08,8180400
2018-07-05,0.06,0.06,0.05,0.05,0.05,1233000
2018-07-06,0.04,0.06,0.04,0.05,0.05,361100
2018-07-09,0.06,0.06,0.06,0.06,0.06,863900
2018-07-10,0.05,0.06,0.05,0.06,0.06,267100
2018-07-11,0.06,0.07,0.06,0.06,0.06,687000
2018-07-12,0.07,0.07,0.07,0.07,0.07,175500
2018-07-13,0.06,0.06,0.06,0.06,0.06,240000
2018-07-16,0.06,0.06,0.06,0.06,0.06,50000
2018-07-18,0.05,0.05,0.05,0.05,0.05,150000
2018-07-19,0.05,0.05,0.05,0.05,0.05,175000
2018-07-20,0.06,0.06,0.06,0.06,0.06,332500
2018-07-23,0.06,0.06,0.06,0.06,0.06,100000
2018-07-24,0.06,0.06,0.06,0.06,0.06,150100
2018-07-26,0.06,0.06,0.06,0.06,0.06,50000
2018-08-01,0.05,0.05,0.05,0.05,0.05,40000
2018-08-03,0.03,0.04,0.03,0.04,0.04,180000
2018-08-06,0.03,0.03,0.03,0.03,0.03,200000
2018-08-07,0.03,0.04,0.03,0.04,0.04,347500
2018-08-08,0.03,0.03,0.03,0.03,0.03,250000
