Date,Open,High,Low,Close,Adj Close,Volume
2012-06-05,31.67,31.79,31.67,31.77,31.77,31
2012-06-06,31.38,31.58,31.38,31.46,31.46,177
2012-06-07,31.45,31.63,31.45,31.59,31.59,36
2012-06-08,31.72,31.9,31.72,31.79,31.79,112
2012-06-11,31.65,31.72,31.62,31.66,31.66,121
2012-06-12,31.75,31.75,31.7,31.73,31.73,280
2012-06-13,31.67,31.72,31.67,31.69,31.69,58
2012-06-14,31.64,31.71,31.64,31.71,31.71,65
2012-06-15,31.65,31.65,31.61,31.63,31.63,73
2012-06-18,31.54,31.6,31.5,31.55,31.55,276
2012-06-19,31.54,31.54,31.48,31.49,31.49,433
2012-06-20,31.5,31.57,31.5,31.55,31.55,105
2012-06-21,31.65,31.8,31.65,31.73,31.73,596
2012-06-22,31.85,31.87,31.79,31.79,31.79,944
2012-06-25,31.89,31.98,31.89,31.98,31.98,1287
2012-06-26,31.96,31.96,31.85,31.87,31.87,2026
2012-06-27,31.89,31.96,31.89,31.94,31.94,1767
2012-06-28,31.9,31.94,31.89,31.93,31.93,2443
2012-06-29,31.9,31.9,31.83,31.83,31.83,4041
2012-07-02,31.73,31.74,31.65,31.68,31.68,6450
2012-07-03,31.66,31.66,31.55,31.56,31.56,5218
2012-07-04,31.51,31.58,31.5,31.56,31.56,4948
2012-07-05,31.61,31.61,31.56,31.57,31.57,4144
2012-07-06,31.62,31.69,31.62,31.68,31.68,6265
2012-07-09,31.76,31.84,31.75,31.81,31.81,3564
2012-07-10,31.75,31.78,31.67,31.67,31.67,5391
2012-07-11,31.72,31.79,31.72,31.74,31.74,2836
2012-07-12,31.75,31.84,31.75,31.8,31.8,2985
2012-07-13,31.82,31.85,31.68,31.69,31.69,5677
2012-07-16,31.69,31.7,31.63,31.69,31.69,3696
2012-07-17,31.6,31.63,31.58,31.6,31.6,3794
2012-07-18,31.64,31.73,31.64,31.72,31.72,3629
2012-07-19,31.65,31.71,31.64,31.68,31.68,3550
2012-07-20,31.71,31.73,31.68,31.69,31.69,2967
2012-07-23,31.79,31.81,31.74,31.79,31.79,2839
2012-07-24,31.79,31.82,31.75,31.81,31.81,1626
2012-07-25,31.8,31.8,31.71,31.72,31.72,1497
2012-07-26,31.67,31.71,31.65,31.71,31.71,1834
2012-07-27,31.61,31.63,31.56,31.57,31.57,2789
2012-07-30,31.56,31.6,31.56,31.57,31.57,224
