Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,3.72,3.72,3.72,3.72,3.72,100
2015-10-16,3.74,3.74,3.74,3.74,3.74,200
2015-11-03,3.74,3.74,3.74,3.74,3.74,100
2015-11-05,3.74,3.74,3.74,3.74,3.74,200
2016-01-04,3.7,3.7,3.7,3.7,3.7,3
2016-01-28,3.83,3.83,3.83,3.83,3.83,1
2016-02-02,4.04,4.04,3.98,3.98,3.98,55
2016-02-08,4.37,4.37,4.37,4.37,4.37,100
2016-02-10,4.38,4.38,4.38,4.38,4.38,200
2016-02-11,4.45,4.45,4.45,4.45,4.45,101
2016-02-15,4.41,4.41,4.41,4.41,4.41,2
2016-02-23,4.19,4.19,4.19,4.19,4.19,100
2016-02-25,4.23,4.23,4.23,4.23,4.23,100
2016-02-29,4.41,4.41,4.41,4.41,4.41,100
2016-03-01,4.34,4.34,4.34,4.34,4.34,100
2016-03-03,4.34,4.34,4.34,4.34,4.34,100
2016-03-04,4.6,4.6,4.6,4.6,4.6,300
2016-03-07,4.62,4.62,4.62,4.62,4.62,300
2016-03-10,4.42,4.42,4.42,4.42,4.42,300
2016-03-11,4.4,4.4,4.4,4.4,4.4,200
2016-03-14,4.42,4.42,4.42,4.42,4.42,300
2016-03-15,4.56,4.56,4.56,4.56,4.56,200
2016-03-16,4.79,4.79,4.79,4.79,4.79,2400
2016-03-17,4.67,4.67,4.67,4.67,4.67,1300
2016-03-18,4.55,4.55,4.55,4.55,4.55,3908
2016-03-22,4.7,4.7,4.7,4.7,4.7,100
2016-03-23,4.6,4.6,4.6,4.6,4.6,1100
2016-03-24,4.75,4.75,4.75,4.75,4.75,200
2016-03-25,4.7,4.7,4.7,4.7,4.7,2200
2016-03-28,4.87,4.87,4.87,4.87,4.87,3
2016-04-04,4.74,4.74,4.74,4.74,4.74,200
2016-04-05,4.74,4.74,4.74,4.74,4.74,400
2016-04-08,4.54,4.54,4.54,4.54,4.54,702
2016-04-20,4.66,4.66,4.66,4.66,4.66,100
2016-04-21,4.71,4.71,4.71,4.71,4.71,129
2016-04-27,4.58,4.58,4.58,4.58,4.58,1000
2016-05-09,4.48,4.48,4.48,4.48,4.48,200
2016-05-30,4.75,4.75,4.75,4.75,4.75,104
2016-05-31,4.83,4.83,4.83,4.83,4.83,1700
2016-06-01,4.79,4.79,4.79,4.79,4.79,100
2016-06-03,4.91,4.91,4.91,4.91,4.91,2400
2016-06-06,5.22,5.22,5.19,5.19,5.19,603
2016-06-07,5.18,5.28,5.18,5.26,5.26,16
2016-06-08,5.37,5.4,5.37,5.4,5.4,823
2016-06-13,5.23,5.23,5.23,5.23,5.23,1
2016-06-14,5.24,5.25,5.24,5.25,5.25,268
2016-06-16,5.05,5.05,5.05,5.05,5.05,4
2016-06-17,5.17,5.17,5.17,5.17,5.17,1
2016-06-21,5.35,5.5,5.34,5.5,5.5,176
2016-06-22,5.55,5.55,5.54,5.54,5.54,4
2016-06-23,5.89,5.89,5.89,5.89,5.89,2551
2016-06-24,5.75,5.75,5.69,5.74,5.74,3
2016-06-28,5.85,6.03,5.85,6,6,425
2016-06-29,5.99,5.99,5.99,5.99,5.99,2
