Date,Open,High,Low,Close,Adj Close,Volume
2017-03-23,4.97,4.97,4.97,4.97,4.97,200
2017-03-28,5.5,5.5,5.5,5.5,5.5,100
2017-04-11,4.92,4.92,4.92,4.92,4.92,100
2017-04-17,5.09,5.09,5.09,5.09,5.09,100
2017-05-09,4.84,4.84,4.84,4.84,4.84,100
2017-05-18,4.94,4.94,4.94,4.94,4.94,200
2017-05-19,5.05,5.05,5.05,5.05,5.05,200
2017-05-22,5.1,5.1,5.1,5.1,5.1,100
2017-05-24,5.25,5.25,5.25,5.25,5.25,400
2017-05-26,5.29,5.29,5.29,5.29,5.29,500
2017-05-30,5.3,5.3,5.3,5.3,5.3,200
2017-05-31,5.24,5.24,5.24,5.24,5.24,2100
2017-06-02,5.39,5.39,5.39,5.39,5.39,400
2017-06-05,5.39,5.39,5.39,5.39,5.39,500
2017-06-06,5.35,5.35,5.35,5.35,5.35,100
2017-06-07,5.35,5.35,5.35,5.35,5.35,100
2017-06-08,5.14,5.14,5.14,5.14,5.14,1500
2017-06-09,5,5,5,5,5,300
2017-06-13,5.1,5.1,5.1,5.1,5.1,550
2017-06-14,5.35,5.35,5.35,5.35,5.35,400
2017-06-15,5.35,5.35,5.35,5.35,5.35,200
2017-06-16,5.3,5.3,5.3,5.3,5.3,1300
2017-06-19,5.39,5.39,5.39,5.39,5.39,200
2017-06-20,5.55,5.6,5.5,5.55,5.55,5031
2017-06-21,5.62,5.62,5.62,5.62,5.62,400
2017-06-22,5.85,5.85,5.85,5.85,5.85,1451
2017-06-23,5.7,5.7,5.7,5.7,5.7,1207
2017-06-26,5.75,5.75,5.75,5.75,5.75,831
2017-06-27,5.7,5.7,5.7,5.7,5.7,1177
2017-06-28,5.56,5.56,5.56,5.56,5.56,2000
2017-06-29,5.55,5.55,5.55,5.55,5.55,1300
2017-06-30,5.7,5.7,5.7,5.7,5.7,500
2017-07-03,5.7,5.7,5.7,5.7,5.7,600
2017-07-04,5.63,5.63,5.63,5.63,5.63,3005
2017-07-05,5.45,5.45,5.45,5.45,5.45,1150
2017-07-06,5.28,5.47,5.05,5.47,5.47,2165
2017-07-07,5.47,5.47,5.47,5.47,5.47,1106
2017-07-11,5.55,5.55,5.55,5.55,5.55,100
2017-07-12,5.54,5.54,5.54,5.54,5.54,600
2017-07-13,5.42,5.42,5.42,5.42,5.42,400
2017-07-14,5.4,5.4,5.4,5.4,5.4,201
2017-07-18,5.44,5.44,5.44,5.44,5.44,100
2017-07-21,5.18,5.18,5.18,5.18,5.18,1210
2017-07-24,5.1,5.1,5.1,5.1,5.1,700
2017-07-26,5.3,5.3,5.3,5.3,5.3,904
2017-07-27,5.28,5.28,5.28,5.28,5.28,204
2017-08-01,5.25,5.25,5.25,5.25,5.25,200
2017-08-02,5.3,5.3,5.3,5.3,5.3,151
2017-08-03,5.3,5.3,5.3,5.3,5.3,502
2017-08-04,5.44,5.44,5.44,5.44,5.44,502
2017-08-07,5.54,5.54,5.54,5.54,5.54,550
2017-08-08,5.55,5.55,5.55,5.55,5.55,600
2017-08-09,5.41,5.65,5.41,5.65,5.65,953
2017-08-10,5.66,5.8,5.61,5.61,5.61,1261
2017-08-11,5.6,5.6,5.6,5.6,5.6,604
2017-08-15,5.64,5.64,5.64,5.64,5.64,600
2017-08-16,5.65,5.65,5.65,5.65,5.65,600
2017-08-18,5.55,5.55,5.55,5.55,5.55,100
2017-08-21,5.52,5.52,5.52,5.52,5.52,100
2017-08-22,5.57,5.57,5.57,5.57,5.57,100
2017-08-24,5.64,5.64,5.64,5.64,5.64,200
2017-08-25,5.61,5.61,5.61,5.61,5.61,100
2017-08-29,5.57,5.57,5.57,5.57,5.57,1600
2017-08-30,5.53,5.53,5.53,5.53,5.53,1300
2017-08-31,5.36,5.36,5.36,5.36,5.36,201
2017-09-01,5.57,5.57,5.57,5.57,5.57,702
2017-09-04,5.58,5.58,5.58,5.58,5.58,302
2017-09-05,5.64,5.64,5.64,5.64,5.64,400
2017-09-07,5.61,5.61,5.61,5.61,5.61,100
2017-09-11,5.61,5.61,5.61,5.61,5.61,100
2017-09-12,5.66,5.66,5.66,5.66,5.66,300
2017-09-15,5.31,5.31,5.31,5.31,5.31,5
2017-09-18,5.6,5.6,5.6,5.6,5.6,3300
2017-09-22,5.31,5.31,5.31,5.31,5.31,700
2017-09-26,5.56,5.65,5.56,5.65,5.65,10002
2017-09-28,5.6,5.6,5.6,5.6,5.6,13
