Date,Open,High,Low,Close,Adj Close,Volume
2016-01-12,0.5,0.51,0.49,0.51,0.51,311500
2016-01-13,0.53,0.54,0.53,0.54,0.54,1765500
2016-01-14,0.53,0.61,0.53,0.61,0.61,3549200
2016-01-15,0.6,0.63,0.55,0.56,0.56,3459800
2016-01-18,0.52,0.57,0.52,0.57,0.57,3357700
2016-01-19,0.59,0.62,0.57,0.57,0.57,2310600
2016-01-20,0.56,0.57,0.51,0.53,0.53,1289200
2016-01-21,0.53,0.54,0.49,0.5,0.5,9451300
2016-01-22,0.52,0.53,0.52,0.53,0.53,31100
2016-01-25,0.53,0.54,0.53,0.53,0.53,4181500
2016-01-26,0.53,0.53,0.51,0.52,0.52,217800
2016-01-28,0.51,0.53,0.48,0.53,0.53,813100
2016-01-29,0.54,0.54,0.54,0.54,0.54,1000
2016-02-01,0.54,0.54,0.53,0.53,0.53,123000
2016-02-02,0.55,0.55,0.53,0.53,0.53,72000
2016-02-03,0.52,0.52,0.51,0.52,0.52,3001900
2016-02-04,0.51,0.53,0.51,0.51,0.51,959600
2016-02-05,0.52,0.52,0.51,0.51,0.51,321500
2016-02-08,0.51,0.51,0.49,0.49,0.49,2632200
2016-02-09,0.5,0.5,0.5,0.5,0.5,1140400
2016-02-10,0.49,0.5,0.48,0.49,0.49,258200
2016-02-11,0.48,0.49,0.43,0.43,0.43,1586100
2016-02-12,0.41,0.43,0.4,0.41,0.41,373300
2016-02-15,0.45,0.45,0.41,0.42,0.42,2137300
2016-02-16,0.42,0.43,0.37,0.38,0.38,884900
2016-02-17,0.4,0.4,0.37,0.37,0.37,19400
2016-02-18,0.37,0.37,0.37,0.37,0.37,127200
2016-02-19,0.38,0.38,0.35,0.35,0.35,2125000
2016-02-23,0.35,0.35,0.33,0.34,0.34,134000
2016-02-24,0.34,0.35,0.34,0.34,0.34,225200
2016-02-25,0.39,0.42,0.39,0.4,0.4,1525000
2016-02-26,0.41,0.42,0.37,0.37,0.37,256000
2016-02-29,0.37,0.38,0.35,0.35,0.35,546800
2016-03-01,0.34,0.36,0.33,0.34,0.34,257200
2016-03-02,0.33,0.35,0.32,0.35,0.35,5885200
2016-03-03,0.35,0.36,0.33,0.33,0.33,1522600
2016-03-04,0.32,0.34,0.31,0.31,0.31,443500
2016-03-07,0.31,0.32,0.3,0.3,0.3,505100
2016-03-08,0.3,0.3,0.29,0.29,0.29,300400
2016-03-09,0.29,0.3,0.29,0.3,0.3,108000
2016-03-10,0.3,0.31,0.28,0.28,0.28,691200
2016-03-11,0.29,0.33,0.29,0.33,0.33,2854900
2016-03-14,0.32,0.32,0.29,0.29,0.29,2310100
2016-03-15,0.28,0.29,0.28,0.29,0.29,589800
2016-03-16,0.29,0.3,0.27,0.27,0.27,3694600
2016-03-17,0.28,0.28,0.26,0.28,0.28,1028600
2016-03-18,0.28,0.28,0.25,0.25,0.25,94000
2016-03-21,0.26,0.26,0.26,0.26,0.26,190000
2016-03-22,0.27,0.27,0.27,0.27,0.27,491400
2016-03-23,0.27,0.27,0.26,0.27,0.27,2000100
2016-03-24,0.28,0.29,0.27,0.28,0.28,1488800
2016-03-25,0.29,0.29,0.29,0.29,0.29,385000
2016-03-28,0.29,0.29,0.27,0.28,0.28,280800
2016-03-29,0.28,0.28,0.28,0.28,0.28,35000
2016-03-30,0.27,0.27,0.27,0.27,0.27,281700
2016-03-31,0.27,0.28,0.27,0.27,0.27,959100
2016-04-01,0.28,0.28,0.27,0.27,0.27,3311600
2016-04-04,0.27,0.27,0.27,0.27,0.27,150000
2016-04-05,0.27,0.27,0.27,0.27,0.27,380400
2016-04-07,0.26,0.26,0.25,0.25,0.25,681000
2016-04-08,0.25,0.25,0.23,0.23,0.23,3058300
2016-04-11,0.23,0.23,0.23,0.23,0.23,140000
2016-04-12,0.24,0.26,0.24,0.26,0.26,661900
2016-04-18,0.26,0.26,0.24,0.25,0.25,522400
2016-04-19,0.25,0.25,0.25,0.25,0.25,249000
2016-04-20,0.24,0.24,0.24,0.24,0.24,750100
2016-04-22,0.24,0.24,0.24,0.24,0.24,47700
2016-04-25,0.25,0.29,0.25,0.28,0.28,469500
2016-04-26,0.31,0.35,0.3,0.35,0.35,2398500
2016-04-27,0.33,0.33,0.3,0.3,0.3,3732200
2016-04-28,0.29,0.31,0.29,0.31,0.31,1871700
2016-04-29,0.3,0.33,0.3,0.31,0.31,2344800
2016-05-03,0.32,0.33,0.32,0.32,0.32,981500
2016-05-04,0.33,0.33,0.29,0.3,0.3,1477600
2016-05-09,0.31,0.31,0.29,0.3,0.3,532200
2016-05-10,0.29,0.31,0.29,0.3,0.3,720400
2016-05-11,0.3,0.3,0.29,0.29,0.29,1131000
2016-05-12,0.29,0.29,0.23,0.28,0.28,2945400
2016-05-13,0.29,0.29,0.25,0.25,0.25,797000
2016-05-16,0.23,0.24,0.23,0.23,0.23,736500
2016-05-17,0.23,0.23,0.22,0.22,0.22,1381000
2016-05-18,0.23,0.24,0.23,0.23,0.23,260900
2016-05-19,0.23,0.24,0.22,0.22,0.22,1648800
2016-05-23,0.22,0.23,0.21,0.22,0.22,4315100
2016-05-24,0.21,0.25,0.21,0.25,0.25,2380100
2016-05-25,0.26,0.27,0.25,0.25,0.25,2596100
2016-05-26,0.25,0.26,0.24,0.25,0.25,4311400
2016-05-27,0.26,0.33,0.26,0.32,0.32,23020400
2016-05-30,0.34,0.36,0.32,0.36,0.36,14714100
2016-05-31,0.36,0.38,0.35,0.35,0.35,9131700
2016-06-01,0.36,0.37,0.31,0.31,0.31,10493700
2016-06-02,0.31,0.35,0.3,0.35,0.35,5732500
2016-06-03,0.35,0.35,0.34,0.34,0.34,2773300
2016-06-06,0.34,0.34,0.32,0.33,0.33,4167100
2016-06-07,0.32,0.38,0.32,0.38,0.38,13862600
2016-06-08,0.39,0.4,0.37,0.37,0.37,5369400
2016-06-09,0.37,0.37,0.34,0.34,0.34,4173900
2016-06-10,0.33,0.34,0.31,0.31,0.31,5103700
2016-06-13,0.29,0.31,0.29,0.3,0.3,12120600
2016-06-14,0.3,0.34,0.3,0.34,0.34,1602500
2016-06-15,0.33,0.34,0.33,0.33,0.33,5124600
2016-06-16,0.33,0.34,0.31,0.31,0.31,3118600
2016-06-17,0.31,0.31,0.29,0.3,0.3,2001900
2016-06-20,0.3,0.31,0.3,0.31,0.31,3768000
2016-06-21,0.3,0.3,0.3,0.3,0.3,632800
2016-06-22,0.28,0.3,0.28,0.29,0.29,789500
2016-06-23,0.28,0.29,0.28,0.29,0.29,1223800
2016-06-24,0.26,0.26,0.22,0.26,0.26,3345000
2016-06-27,0.26,0.27,0.25,0.26,0.26,1454000
2016-06-28,0.27,0.32,0.27,0.31,0.31,9207900
2016-06-29,0.32,0.33,0.29,0.31,0.31,4202300
2016-06-30,0.32,0.36,0.32,0.36,0.36,5086800
2016-07-04,0.34,0.34,0.31,0.31,0.31,3382600
2016-07-05,0.31,0.37,0.3,0.34,0.34,11560500
2016-07-06,0.35,0.38,0.35,0.35,0.35,5464100
2016-07-07,0.36,0.4,0.36,0.36,0.36,5414000
2016-07-08,0.37,0.37,0.34,0.36,0.36,2312900
2016-07-11,0.36,0.36,0.35,0.36,0.36,672200
2016-07-12,0.38,0.47,0.38,0.46,0.46,8409300
2016-07-13,0.43,0.5,0.42,0.46,0.46,4446600
2016-07-14,0.44,0.48,0.44,0.45,0.45,1570200
2016-07-15,0.44,0.55,0.44,0.55,0.55,3730200
2016-07-20,0.56,0.61,0.55,0.57,0.57,3887300
2016-07-21,0.57,0.61,0.57,0.58,0.58,4167100
2016-07-22,0.58,0.62,0.58,0.62,0.62,1442700
2016-07-25,0.61,0.63,0.59,0.6,0.6,418000
2016-07-26,0.59,0.61,0.57,0.57,0.57,1664000
2016-07-27,0.57,0.63,0.54,0.63,0.63,14005900
2016-07-28,0.66,0.69,0.66,0.68,0.68,6203100
2016-07-29,0.66,0.68,0.66,0.68,0.68,457800
