Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,11.52,11.52,11.52,11.52,11.52,401
2018-01-11,11.67,11.67,11.67,11.67,11.67,1
2018-01-15,11.08,11.08,11.08,11.08,11.08,100
2018-01-18,11.71,11.71,11.71,11.71,11.71,201
2018-01-22,11.22,11.22,11.22,11.22,11.22,101
2018-02-05,10.75,10.75,10.75,10.75,10.75,100
2018-02-06,10.6,10.6,10.6,10.6,10.6,102
2018-02-07,10.71,10.71,10.71,10.71,10.71,2
2018-02-08,10.5,10.5,10.5,10.5,10.5,100
2018-02-12,10.88,10.88,10.88,10.88,10.88,2
2018-02-14,11.5,11.5,11.5,11.5,11.5,500
2018-02-15,11.3,11.3,11.3,11.3,11.3,100
2018-02-22,10.89,10.89,10.89,10.89,10.89,200
2018-02-23,10.74,10.74,10.74,10.74,10.74,2
2018-02-27,10.95,10.95,10.95,10.95,10.95,200
2018-03-06,10.9,10.9,10.9,10.9,10.9,1
2018-03-13,10.59,10.59,10.59,10.59,10.59,1
2018-03-14,10.44,10.44,10.44,10.44,10.44,100
2018-03-16,10.73,10.73,10.73,10.73,10.73,100
2018-03-20,10.21,10.3,10.21,10.3,10.3,2
2018-03-21,9.65,10.22,9.65,10.22,10.22,320
2018-03-22,10,10,10,10,10,701
2018-03-23,9.76,9.76,9.76,9.76,9.76,2
2018-03-26,9.55,9.55,9.55,9.55,9.55,701
2018-03-28,9.53,9.53,9.53,9.53,9.53,1026
2018-03-29,9.59,9.59,9.59,9.59,9.59,1188
2018-03-30,9.51,9.51,9.41,9.41,9.41,4
2018-04-02,9.54,9.54,9.41,9.41,9.41,104
2018-04-03,9.51,9.51,9.51,9.51,9.51,241
2018-04-04,9.47,9.47,9.47,9.47,9.47,251
2018-04-05,9.39,9.39,8.99,9.05,9.05,1212
2018-04-09,9,9,9,9,9,202
2018-04-10,8.94,8.94,8.85,8.85,8.85,502
2018-04-11,8.86,8.86,8.86,8.86,8.86,223
2018-04-17,8.95,8.95,8.85,8.85,8.85,3
2018-05-10,9.1,9.1,9.1,9.1,9.1,351
2018-05-11,9,9.03,9,9.03,9.03,2551
2018-05-15,8.53,8.53,8.48,8.48,8.48,503
2018-05-16,8.63,8.63,8.63,8.63,8.63,5
2018-05-25,9.17,9.17,9.17,9.17,9.17,100
2018-05-30,8.92,8.92,8.87,8.87,8.87,2
2018-05-31,8.55,8.55,8.55,8.55,8.55,1
2018-06-25,7.86,7.86,7.86,7.86,7.86,200
2018-06-26,7.71,7.71,7.71,7.71,7.71,100
2018-06-28,7.6,7.6,7.6,7.6,7.6,101
