Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,0.34,0.35,0.33,0.33,0.33,782800
2018-05-09,0.34,0.34,0.31,0.31,0.31,4594600
2018-05-10,0.33,0.36,0.33,0.35,0.35,4513400
2018-05-11,0.36,0.36,0.34,0.35,0.35,3788000
2018-05-14,0.37,0.41,0.37,0.4,0.4,4706600
2018-05-15,0.42,0.42,0.39,0.4,0.4,2739900
2018-05-16,0.4,0.42,0.38,0.39,0.39,3551400
2018-05-17,0.4,0.41,0.4,0.4,0.4,2256800
2018-05-18,0.42,0.43,0.42,0.42,0.42,2859100
2018-05-21,0.42,0.44,0.42,0.44,0.44,1296700
2018-05-22,0.43,0.43,0.42,0.43,0.43,1611600
2018-05-23,0.43,0.46,0.43,0.45,0.45,4117200
2018-05-24,0.45,0.46,0.43,0.43,0.43,959000
2018-05-25,0.44,0.45,0.43,0.44,0.44,2305100
2018-05-28,0.45,0.45,0.44,0.44,0.44,3179000
2018-05-30,0.43,0.43,0.37,0.4,0.4,7674600
2018-05-31,0.41,0.45,0.4,0.44,0.44,4032200
2018-06-01,0.45,0.45,0.43,0.43,0.43,1371600
2018-06-04,0.44,0.45,0.42,0.42,0.42,1224200
2018-06-05,0.41,0.43,0.41,0.43,0.43,3010500
2018-06-06,0.43,0.44,0.4,0.4,0.4,5530400
2018-06-07,0.4,0.41,0.4,0.4,0.4,1841000
2018-06-08,0.4,0.41,0.39,0.39,0.39,3007700
2018-06-11,0.39,0.4,0.38,0.38,0.38,1370200
2018-06-12,0.38,0.38,0.37,0.37,0.37,1115600
2018-06-13,0.35,0.39,0.35,0.38,0.38,5317700
2018-06-14,0.36,0.37,0.36,0.37,0.37,1809600
2018-06-15,0.36,0.38,0.36,0.37,0.37,3151400
2018-06-18,0.35,0.35,0.34,0.34,0.34,1219900
2018-06-19,0.32,0.32,0.28,0.29,0.29,2827400
2018-06-20,0.28,0.31,0.28,0.3,0.3,4519700
2018-06-21,0.29,0.29,0.27,0.27,0.27,2141300
2018-06-22,0.28,0.29,0.27,0.27,0.27,1441600
2018-06-25,0.28,0.29,0.26,0.26,0.26,344700
2018-07-05,0.22,0.22,0.19,0.19,0.19,2322800
2018-07-06,0.19,0.22,0.19,0.21,0.21,5701100
2018-07-09,0.22,0.25,0.22,0.23,0.23,21801700
2018-07-10,0.25,0.25,0.23,0.25,0.25,4472500
2018-07-11,0.23,0.24,0.23,0.23,0.23,222700
2018-07-12,0.23,0.24,0.22,0.24,0.24,5408400
2018-07-13,0.25,0.27,0.25,0.26,0.26,2663900
2018-07-16,0.26,0.26,0.25,0.25,0.25,1575700
2018-07-17,0.25,0.25,0.24,0.24,0.24,977700
2018-07-18,0.25,0.25,0.24,0.24,0.24,1828800
2018-07-19,0.25,0.26,0.25,0.26,0.26,2138400
2018-07-20,0.26,0.28,0.26,0.27,0.27,2873300
2018-07-23,0.27,0.27,0.26,0.26,0.26,1291600
2018-08-06,0.24,0.24,0.22,0.22,0.22,1313800
2018-08-07,0.23,0.23,0.22,0.22,0.22,854000
2018-08-08,0.22,0.22,0.2,0.21,0.21,954500
2018-08-09,0.2,0.21,0.2,0.21,0.21,2464800
2018-08-10,0.2,0.2,0.19,0.2,0.2,2191400
2018-08-14,0.16,0.18,0.16,0.17,0.17,4109800
2018-08-15,0.16,0.16,0.13,0.13,0.13,2201400
2018-08-16,0.14,0.16,0.14,0.15,0.15,3174400
2018-08-17,0.16,0.16,0.15,0.16,0.16,1904300
2018-08-20,0.17,0.17,0.16,0.17,0.17,1464400
2018-08-21,0.17,0.17,0.16,0.16,0.16,1799900
2018-08-22,0.16,0.16,0.16,0.16,0.16,80700
2018-08-23,0.16,0.17,0.16,0.17,0.17,1034900
2018-08-24,0.17,0.18,0.17,0.17,0.17,984600
2018-08-27,0.17,0.19,0.17,0.19,0.19,4419700
2018-08-28,0.2,0.21,0.19,0.2,0.2,1262700
2018-08-29,0.19,0.21,0.19,0.2,0.2,1634600
2018-09-06,0.19,0.2,0.19,0.2,0.2,387700
2018-09-07,0.2,0.2,0.2,0.2,0.2,420600
2018-09-10,0.19,0.19,0.19,0.19,0.19,325600
2018-09-11,0.19,0.19,0.19,0.19,0.19,20000
2018-09-12,0.18,0.18,0.18,0.18,0.18,381000
2018-09-13,0.2,0.2,0.2,0.2,0.2,1219600
2018-09-14,0.22,0.22,0.21,0.21,0.21,1228600
2018-09-17,0.21,0.21,0.2,0.2,0.2,190300
2018-09-20,0.27,0.28,0.26,0.27,0.27,3521400
2018-09-21,0.28,0.29,0.28,0.28,0.28,4411700
2018-09-24,0.27,0.27,0.25,0.25,0.25,2288800
2018-09-25,0.26,0.26,0.25,0.25,0.25,746700
2018-09-26,0.25,0.25,0.24,0.24,0.24,451200
2018-09-27,0.24,0.24,0.23,0.23,0.23,729300
2018-09-28,0.25,0.28,0.25,0.28,0.28,3108500
2018-10-01,0.28,0.35,0.28,0.32,0.32,8543800
2018-10-02,0.32,0.35,0.31,0.31,0.31,3621600
2018-10-03,0.32,0.32,0.27,0.27,0.27,3620000
2018-10-04,0.25,0.28,0.25,0.27,0.27,2571700
2018-10-05,0.28,0.3,0.24,0.24,0.24,3378000
2018-10-08,0.24,0.25,0.2,0.21,0.21,4449000
2018-10-09,0.2,0.23,0.2,0.21,0.21,2039000
2018-10-10,0.22,0.22,0.21,0.22,0.22,1016900
2018-10-11,0.18,0.21,0.18,0.2,0.2,3571700
2018-10-12,0.21,0.22,0.21,0.22,0.22,56900
2018-10-16,0.22,0.22,0.22,0.22,0.22,10000
2018-10-17,0.24,0.24,0.24,0.24,0.24,110000
2018-10-18,0.22,0.22,0.2,0.2,0.2,705500
2018-10-19,0.19,0.2,0.19,0.2,0.2,560000
2018-10-25,0.16,0.17,0.15,0.17,0.17,2319300
2018-10-26,0.17,0.17,0.16,0.16,0.16,1714000
2018-10-29,0.17,0.17,0.15,0.15,0.15,130200
2018-10-30,0.15,0.15,0.15,0.15,0.15,1874400
2018-10-31,0.16,0.16,0.16,0.16,0.16,1572800
2018-11-01,0.16,0.19,0.16,0.17,0.17,1755600
2018-11-02,0.19,0.19,0.18,0.19,0.19,2099300
2018-11-05,0.17,0.17,0.17,0.17,0.17,491400
2018-11-06,0.17,0.18,0.16,0.16,0.16,715100
2018-11-07,0.17,0.17,0.16,0.17,0.17,1070200
2018-11-08,0.18,0.18,0.17,0.17,0.17,1714700
2018-11-09,0.17,0.17,0.16,0.16,0.16,616700
2018-11-12,0.15,0.15,0.14,0.14,0.14,280800
2018-11-13,0.13,0.15,0.13,0.13,0.13,2613500
2018-11-14,0.15,0.15,0.15,0.15,0.15,530800
2018-11-15,0.15,0.15,0.15,0.15,0.15,340400
2018-11-16,0.14,0.14,0.14,0.14,0.14,70200
2018-11-19,0.14,0.14,0.14,0.14,0.14,400000
2018-11-20,0.13,0.13,0.12,0.12,0.12,1041000
2018-11-21,0.11,0.12,0.11,0.11,0.11,1601200
2018-11-22,0.12,0.12,0.1,0.1,0.1,40000
2018-11-23,0.11,0.12,0.11,0.12,0.12,1274000
2018-11-26,0.12,0.13,0.12,0.12,0.12,1052300
2018-11-27,0.13,0.13,0.12,0.12,0.12,963700
2018-11-28,0.13,0.13,0.13,0.13,0.13,351100
2018-11-29,0.13,0.14,0.12,0.12,0.12,437000
2018-11-30,0.12,0.12,0.12,0.12,0.12,499400
2018-12-03,0.14,0.15,0.14,0.14,0.14,2863700
2018-12-04,0.14,0.14,0.14,0.14,0.14,163100
2018-12-06,0.13,0.13,0.13,0.13,0.13,270200
2018-12-07,0.14,0.15,0.14,0.14,0.14,1537800
2018-12-11,0.15,0.15,0.13,0.13,0.13,1550100
2018-12-12,0.14,0.15,0.13,0.13,0.13,916300
2018-12-13,0.14,0.14,0.13,0.13,0.13,661600
2018-12-14,0.13,0.13,0.11,0.11,0.11,1172500
2018-12-17,0.11,0.11,0.11,0.11,0.11,878600
2018-12-18,0.11,0.12,0.11,0.11,0.11,2577700
2018-12-19,0.11,0.12,0.11,0.12,0.12,966100
2018-12-20,0.12,0.12,0.11,0.11,0.11,80600
2018-12-21,0.11,0.12,0.11,0.12,0.12,474600
2018-12-24,0.12,0.12,0.12,0.12,0.12,755400
2018-12-25,0.11,0.11,0.09,0.09,0.09,600000
2018-12-26,0.09,0.09,0.07,0.08,0.08,600000
2018-12-27,0.09,0.09,0.08,0.08,0.08,1440500
2018-12-28,0.09,0.11,0.09,0.11,0.11,2586500
2019-01-02,0.11,0.11,0.1,0.1,0.1,608500
2019-01-03,0.1,0.1,0.1,0.1,0.1,432900
2019-01-04,0.09,0.09,0.08,0.09,0.09,910200
2019-01-07,0.1,0.1,0.1,0.1,0.1,140000
2019-01-08,0.1,0.1,0.1,0.1,0.1,1915200
2019-01-09,0.10,0.10,0.10,0.10,0.10,350600
