Date,Open,High,Low,Close,Adj Close,Volume
2018-01-09,0.96,0.96,0.96,0.96,0.96,300000
2018-01-10,0.92,0.93,0.68,0.72,0.72,13046800
2018-01-11,0.69,0.86,0.65,0.78,0.78,14032000
2018-01-12,0.77,0.82,0.75,0.77,0.77,3077900
2018-01-15,0.77,0.83,0.77,0.82,0.82,2842200
2018-01-16,0.84,0.84,0.82,0.82,0.82,1648000
2018-01-17,0.8,0.83,0.8,0.82,0.82,1909200
2018-01-18,0.82,0.83,0.81,0.81,0.81,2523900
2018-01-19,0.81,0.82,0.8,0.81,0.81,1415000
2018-01-22,0.8,0.81,0.8,0.81,0.81,902900
2018-01-23,0.8,0.84,0.8,0.8,0.8,4680200
2018-01-24,0.78,0.79,0.74,0.76,0.76,2208800
2018-01-25,0.74,0.77,0.73,0.74,0.74,5705900
2018-01-26,0.73,0.77,0.73,0.77,0.77,4349300
2018-01-29,0.76,0.78,0.75,0.76,0.76,2933800
2018-01-30,0.77,0.94,0.77,0.94,0.94,37509800
2018-01-31,0.94,0.95,0.89,0.92,0.92,23851600
2018-02-01,0.94,0.99,0.92,0.93,0.93,9444600
2018-02-06,0.82,0.89,0.79,0.88,0.88,8709400
2018-02-07,0.9,0.91,0.88,0.88,0.88,3295900
2018-02-08,0.86,0.88,0.84,0.87,0.87,2626300
2018-02-09,0.85,0.87,0.85,0.87,0.87,1274200
2018-02-12,0.87,0.88,0.85,0.88,0.88,2384700
2018-02-13,0.9,0.91,0.84,0.85,0.85,2505500
2018-02-14,0.84,0.86,0.77,0.78,0.78,2762700
2018-02-15,0.79,0.79,0.76,0.77,0.77,1781900
2018-02-16,0.77,0.78,0.74,0.74,0.74,1388700
2018-02-19,0.74,0.74,0.69,0.69,0.69,3413200
2018-02-20,0.69,0.69,0.65,0.65,0.65,2341100
2018-02-21,0.64,0.64,0.62,0.62,0.62,4347800
2018-02-22,0.61,0.67,0.6,0.62,0.62,3526400
2018-03-07,0.66,0.67,0.63,0.65,0.65,9398500
2018-03-08,0.66,0.68,0.65,0.67,0.67,1811000
2018-03-09,0.64,0.65,0.61,0.62,0.62,2174200
2018-03-12,0.6,0.6,0.34,0.34,0.34,18412100
2018-03-13,0.34,0.42,0.33,0.38,0.38,8243700
2018-03-14,0.42,0.51,0.42,0.47,0.47,11133000
2018-03-15,0.46,0.46,0.38,0.43,0.43,12286900
2018-03-16,0.46,0.48,0.43,0.44,0.44,12177900
2018-03-19,0.43,0.45,0.36,0.4,0.4,12788700
2018-03-22,0.21,0.33,0.21,0.24,0.24,21693400
2018-03-23,0.24,0.29,0.21,0.27,0.27,10602000
2018-04-05,0.13,0.15,0.12,0.15,0.15,10210300
2018-04-09,0.14,0.14,0.13,0.13,0.13,3258700
2018-04-10,0.14,0.16,0.14,0.16,0.16,8792800
2018-04-11,0.17,0.19,0.15,0.15,0.15,13470200
2018-04-12,0.14,0.15,0.13,0.14,0.14,4166400
2018-04-17,0.14,0.15,0.14,0.14,0.14,1598500
2018-04-18,0.14,0.16,0.14,0.15,0.15,5429100
2018-04-19,0.15,0.15,0.14,0.14,0.14,960500
2018-04-20,0.14,0.14,0.13,0.13,0.13,5342600
2018-05-03,0.1,0.14,0.1,0.14,0.14,2953600
2018-05-04,0.13,0.13,0.12,0.12,0.12,1637700
2018-05-07,0.12,0.14,0.12,0.13,0.13,312700
2018-05-08,0.13,0.13,0.1,0.11,0.11,1009900
2018-05-09,0.13,0.13,0.08,0.09,0.09,9440100
2018-05-10,0.08,0.09,0.07,0.07,0.07,2512300
2018-05-11,0.07,0.07,0.04,0.06,0.06,7667100
2018-05-14,0.04,0.04,0.02,0.03,0.03,7628400
2018-05-15,0.03,0.03,0.02,0.02,0.02,3913000
2018-05-16,0.02,0.02,0.01,0.02,0.02,1815600
2018-05-17,0.01,0.02,0.01,0.02,0.02,3723100
2018-05-18,0.02,0.02,0.02,0.02,0.02,1770100
2018-05-21,0.01,0.02,0.01,0.01,0.01,50000
2018-05-22,0.01,0.02,0.01,0.02,0.02,359100
2018-05-23,0.01,0.02,0.01,0.01,0.01,1366400
2018-05-24,0.01,0.02,0.01,0.01,0.01,3094200
2018-05-25,0.01,0.02,0.01,0.01,0.01,1059200
2018-05-28,0.01,0.02,0.01,0.02,0.02,200
2018-05-30,0.01,0.01,0.01,0.01,0.01,500000
2018-05-31,0.01,0.01,0.01,0.01,0.01,1366800
2018-06-01,0.01,0.01,0.01,0.01,0.01,1931800
2018-06-04,0.01,0.01,0.01,0.01,0.01,521800
2018-06-05,0.01,0.01,0.01,0.01,0.01,1265100
2018-06-06,0.01,0.01,0.01,0.01,0.01,300500
2018-06-07,0.01,0.01,0.01,0.01,0.01,301500
2018-06-08,0.01,0.01,0.01,0.01,0.01,1938200
2018-06-11,0.01,0.01,0.01,0.01,0.01,556000
2018-06-12,0.01,0.02,0.01,0.01,0.01,202700
2018-06-13,0.01,0.01,0.01,0.01,0.01,742500
2018-06-14,0.01,0.01,0.01,0.01,0.01,2439400
2018-06-15,0.01,0.01,0.01,0.01,0.01,500000
2018-06-18,0.01,0.01,0.01,0.01,0.01,689000
2018-06-19,0.01,0.01,0.01,0.01,0.01,3144900
2018-06-20,0.01,0.01,0.01,0.01,0.01,100000
2018-06-21,0.01,0.01,0.01,0.01,0.01,565400
2018-06-22,0.01,0.01,0.01,0.01,0.01,626500
2018-06-25,0.01,0.01,0.01,0.01,0.01,1119300
